category_key,abstract_sku,name.en_US,name.de_DE,is_featured,attribute_key_1,value_1,attribute_key_1.en_US,value_1.en_US,attribute_key_1.de_DE,value_1.de_DE,attribute_key_2,value_2,attribute_key_2.en_US,value_2.en_US,attribute_key_2.de_DE,value_2.de_DE,attribute_key_3,value_3,attribute_key_3.en_US,value_3.en_US,attribute_key_3.de_DE,value_3.de_DE,attribute_key_4,value_4,attribute_key_4.en_US,value_4.en_US,attribute_key_4.de_DE,value_4.de_DE,attribute_key_5,value_5,attribute_key_6,value_6,attribute_key_6.en_US,value_6.en_US,attribute_key_6.de_DE,value_6.de_DE,color_code,description.en_US,description.de_DE,icecat_pdp_url,tax_set_name,meta_title.en_US,meta_title.de_DE,meta_keywords.en_US,meta_keywords.de_DE,meta_description.en_US,meta_description.de_DE,icecat_license
digital-cameras,001,Canon IXUS 160,Canon IXUS 160,0,megapixel,20 MP,,,,,flash_range_tele,1.3-1.5 m,flash_range_tele,4.2-4.9 ft,,,memory_slots,1,,,,,usb_version,2,,,,,brand,Canon,,,color,Red,color,Weinrot,#DC2E09,"Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results while framing using Live View Control and enjoy sharing them with friends using the 6.8 cm (2.7”) LCD screen. Combine with a Canon Connect Station and you can easily share your photos and movies with the world on social media sites and online albums like irista, plus enjoy watching them with family and friends on an HD TV. Effortlessly enjoy great shots of friends thanks to Face Detection technology. It detects multiple faces in a single frame making sure they remain in focus and with optimum brightness. Face Detection also ensures natural skin tones even in unusual lighting conditions.","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",https://de.icecat.biz/de/p/canon/0144c001/digitale-kameras-4549292030174-Canon-IXUS-160-25904006.html,Entertainment Electronics,Canon IXUS 160,Canon IXUS 160,"Canon,Entertainment Electronics","Canon,Entertainment Electronics",Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results whi,"Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus au","This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,002,Canon IXUS 160,Canon IXUS 160,0,megapixel,20 MP,,,,,flash_range_tele,1.3-1.5 m,flash_range_tele,4.2-4.9 ft,,,memory_slots,1,,,,,usb_version,2,,,,,brand,Canon,,,color,Black,color,Schwarz,#000000,"Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results while framing using Live View Control and enjoy sharing them with friends using the 6.8 cm (2.7”) LCD screen. Combine with a Canon Connect Station and you can easily share your photos and movies with the world on social media sites and online albums like irista, plus enjoy watching them with family and friends on an HD TV. Effortlessly enjoy great shots of friends thanks to Face Detection technology. It detects multiple faces in a single frame making sure they remain in focus and with optimum brightness. Face Detection also ensures natural skin tones even in unusual lighting conditions.","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",https://de.icecat.biz/de/p/canon/0135c001/digitale-kameras-4549292029147-Canon-IXUS-160-25904004.html,Entertainment Electronics,Canon IXUS 160,Canon IXUS 160,"Canon,Entertainment Electronics","Canon,Entertainment Electronics",Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results whi,"Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus au","This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,003,Canon IXUS 160,Canon IXUS 160,0,megapixel,20 MP,,,,,flash_range_tele,1.3-1.5 m,flash_range_tele,4.2-4.9 ft,,,memory_slots,1,,,,,usb_version,2,,,,,brand,Canon,,,color,Silver,color,Silber,#D3D3D3,"Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results while framing using Live View Control and enjoy sharing them with friends using the 6.8 cm (2.7”) LCD screen. Combine with a Canon Connect Station and you can easily share your photos and movies with the world on social media sites and online albums like irista, plus enjoy watching them with family and friends on an HD TV. Effortlessly enjoy great shots of friends thanks to Face Detection technology. It detects multiple faces in a single frame making sure they remain in focus and with optimum brightness. Face Detection also ensures natural skin tones even in unusual lighting conditions.","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",https://de.icecat.biz/de/p/canon/0138c009/digitale-kameras-8714574629490-Canon-IXUS-160-26138343.html,Entertainment Electronics,Canon IXUS 160,Canon IXUS 160,"Canon,Entertainment Electronics","Canon,Entertainment Electronics",Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results whi,"Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus au","This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,004,Canon IXUS 175,Canon IXUS 175,0,optical_zoom,8 x,,,,,combined_zoom,32 x,,,,,display,LCD,,,,,hdmi,no,,,,,brand,Canon,,,color,Silver,color,Silber,#D3D3D3,"Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies look like miniature scale models and much more. Capture the stunning detail in everyday subjects using 1 cm Macro to get right up close. Enjoy exceptional quality, detailed images thanks to 20.0 Megapixels and DIGIC 4+ processing. Face Detection technology makes capturing great shots of friends effortless, while Auto Zoom intelligently helps you select the best framing at the touch of a button.","Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",https://de.icecat.biz/en/p/canon/1094c001/digitale-kameras-4549292057188-175-30663302.html,Entertainment Electronics,Canon IXUS 175,Canon IXUS 175,"Canon,Entertainment Electronics","Canon,Entertainment Electronics","Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies loo",Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mi,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,005,Canon IXUS 175,Canon IXUS 175,0,optical_zoom,8 x,,,,,combined_zoom,32 x,,,,,display,LCD,,,,,hdmi,no,,,,,brand,Canon,,,color,Blue,color,Blau,#6281D8,"Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies look like miniature scale models and much more. Capture the stunning detail in everyday subjects using 1 cm Macro to get right up close. Enjoy exceptional quality, detailed images thanks to 20.0 Megapixels and DIGIC 4+ processing. Face Detection technology makes capturing great shots of friends effortless, while Auto Zoom intelligently helps you select the best framing at the touch of a button.","Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",https://uk.icecat.biz/de/p/canon/1091c001/digitale-kameras-4549292057126-Canon-IXUS-180-30663301.html,Entertainment Electronics,Canon IXUS 175,Canon IXUS 175,"Canon,Entertainment Electronics","Canon,Entertainment Electronics","Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies loo",Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mi,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,006,Canon IXUS 175,Canon IXUS 175,0,optical_zoom,8 x,,,,,combined_zoom,32 x,,,,,display,LCD,,,,,hdmi,no,,,,,brand,Canon,,,color,Black,color,Schwarz,#000000,"Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies look like miniature scale models and much more. Capture the stunning detail in everyday subjects using 1 cm Macro to get right up close. Enjoy exceptional quality, detailed images thanks to 20.0 Megapixels and DIGIC 4+ processing. Face Detection technology makes capturing great shots of friends effortless, while Auto Zoom intelligently helps you select the best framing at the touch of a button.","Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",https://uk.icecat.biz/de/p/canon/1085c009/digitale-kameras-8714574634319-Canon-IXUS-180-20MP-1-2-3Zoll-CCD-5152-x-3864Pixel-Schwarz-30692993.html,Entertainment Electronics,Canon IXUS 175,Canon IXUS 175,"Canon,Entertainment Electronics","Canon,Entertainment Electronics","Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies loo",Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mi,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,007,Canon IXUS 285,Canon IXUS 285,0,optical_zoom,12 x,,,,,usb_version,2,,,,,self_timer,2.10 s,,,,,hd_type,Full HD,,,,,brand,Canon,,,color,Black,color,Schwarz,#000000,"Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically back-up new images to cloud services and capture great group shots with wireless Remote Shooting from your smart device. The Wi-Fi Button offers a quick and easy shortcut to Wi-Fi functions. This ultra-slim and stylish metal-bodied IXUS is easy to carry with you wherever you go and features a flexible 25mm ultra-wide 12x optical zoom lens with 24x ZoomPlus; so you can easily capture every moment, near or far, in superb quality photos and movies. Auto Zoom helps you select the best framing at the touch of a button.",No Description,https://uk.icecat.biz/en/p/canon/1076c007/digitale-kameras-8714574634395-285+HS-30691822.html,Entertainment Electronics,Canon IXUS 285,Canon IXUS 285,"Canon,Entertainment Electronics","Canon,Entertainment Electronics",Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically,No Description,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,008,Canon IXUS 285,Canon IXUS 285,0,optical_zoom,12 x,,,,,usb_version,2,,,,,self_timer,2.10 s,,,,,hd_type,Full HD,,,,,brand,Canon,,,color,Purple,color,Lila,#9370DB,"Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically back-up new images to cloud services and capture great group shots with wireless Remote Shooting from your smart device. The Wi-Fi Button offers a quick and easy shortcut to Wi-Fi functions. This ultra-slim and stylish metal-bodied IXUS is easy to carry with you wherever you go and features a flexible 25mm ultra-wide 12x optical zoom lens with 24x ZoomPlus; so you can easily capture every moment, near or far, in superb quality photos and movies. Auto Zoom helps you select the best framing at the touch of a button.",No Description,https://uk.icecat.biz/de/p/canon/1082c006/digitale-kameras-8714574634432-Canon-IXUS-285-HS-20-2MP-1-2-3Zoll-CMOS-5184-x-3888Pixel-Schwarz-30692992.html,Entertainment Electronics,Canon IXUS 285,Canon IXUS 285,"Canon,Entertainment Electronics","Canon,Entertainment Electronics",Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically,No Description,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,009,Canon IXUS 285,Canon IXUS 285,0,optical_zoom,12 x,,,,,usb_version,2,,,,,self_timer,2.10 s,,,,,hd_type,Full HD,,,,,brand,Canon,,,color,Silver,color,Silber,#D3D3D3,"Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically back-up new images to cloud services and capture great group shots with wireless Remote Shooting from your smart device. The Wi-Fi Button offers a quick and easy shortcut to Wi-Fi functions. This ultra-slim and stylish metal-bodied IXUS is easy to carry with you wherever you go and features a flexible 25mm ultra-wide 12x optical zoom lens with 24x ZoomPlus; so you can easily capture every moment, near or far, in superb quality photos and movies. Auto Zoom helps you select the best framing at the touch of a button.",No Description,https://uk.icecat.biz/de/p/canon/1079c007/digitale-kameras-8714574634418-Canon-IXUS-285-HS-20-2MP-1-2-3Zoll-CMOS-5184-x-3888Pixel-Schwarz-30692991.html,Entertainment Electronics,Canon IXUS 285,Canon IXUS 285,"Canon,Entertainment Electronics","Canon,Entertainment Electronics",Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically,No Description,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
digital-cameras,010,Canon IXUS 180,Canon IXUS 180,0,megapixel,20 MP,,,,,sensor_type,CCD,,,,,display,LCD,,,,,digital_zoom,4 x,,,,,brand,Canon,,,color,Red,color,Rot,#DC2E09,"Effortless creativity Just point and shoot to capture fantastic photos or movies with one touch of the Auto Button, which allows Smart Auto to take control and choose the perfect camera settings for you. Play with your creativity in stills or movies using a range of Creative Filters such as Fish Eye, Miniature and Toy Camera.  Enjoy exceptional quality, detailed images ideal for creating stunning poster sized prints thanks to 20.0 Megapixels and DIGIC 4+ processing. An intelligent optical Image Stabilizer ensures sharp stills and steady movies in any situation, while the 6.8 cm (2.7”) LCD screen allows easy viewing and sharing.",No Description,https://uk.icecat.biz/en/p/canon/1088c008/digitale-kameras-8714574634333-180-30692994.html,Entertainment Electronics,Canon IXUS 180,Canon IXUS 180,"Canon,Entertainment Electronics","Canon,Entertainment Electronics","Effortless creativity Just point and shoot to capture fantastic photos or movies with one touch of the Auto Button, which allows Smart Auto to take control",No Description,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
