abstract_sku,old_sku,concrete_sku,name.en_US,name.de_DE,attribute_key_1,value_1,attribute_key_1.en_US,value_1.en_US,attribute_key_1.de_DE,value_1.de_DE,attribute_key_2,value_2,icecat_pdp_url,description.en_US,description.de_DE,is_searchable.en_US,is_searchable.de_DE,icecat_license,bundled
001,25904006,001_25904006,Canon IXUS 160,Canon IXUS 160,,,,,,,,,,"Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results while framing using Live View Control and enjoy sharing them with friends using the 6.8 cm (2.7”) LCD screen. Combine with a Canon Connect Station and you can easily share your photos and movies with the world on social media sites and online albums like irista, plus enjoy watching them with family and friends on an HD TV. Effortlessly enjoy great shots of friends thanks to Face Detection technology. It detects multiple faces in a single frame making sure they remain in focus and with optimum brightness. Face Detection also ensures natural skin tones even in unusual lighting conditions.","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
002,25904004,002_25904004,Canon IXUS 160,Canon IXUS 160,,,,,,,,,,"Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results while framing using Live View Control and enjoy sharing them with friends using the 6.8 cm (2.7”) LCD screen. Combine with a Canon Connect Station and you can easily share your photos and movies with the world on social media sites and online albums like irista, plus enjoy watching them with family and friends on an HD TV. Effortlessly enjoy great shots of friends thanks to Face Detection technology. It detects multiple faces in a single frame making sure they remain in focus and with optimum brightness. Face Detection also ensures natural skin tones even in unusual lighting conditions.","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
003,26138343,003_26138343,Canon IXUS 160,Canon IXUS 160,,,,,,,,,,"Add a personal touch Make shots your own with quick and easy control over picture settings such as brightness and colour intensity. Preview the results while framing using Live View Control and enjoy sharing them with friends using the 6.8 cm (2.7”) LCD screen. Combine with a Canon Connect Station and you can easily share your photos and movies with the world on social media sites and online albums like irista, plus enjoy watching them with family and friends on an HD TV. Effortlessly enjoy great shots of friends thanks to Face Detection technology. It detects multiple faces in a single frame making sure they remain in focus and with optimum brightness. Face Detection also ensures natural skin tones even in unusual lighting conditions.","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
004,30663302,004_30663302,Canon IXUS 175,Canon IXUS 175,,,,,,,,,,"Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies look like miniature scale models and much more. Capture the stunning detail in everyday subjects using 1 cm Macro to get right up close. Enjoy exceptional quality, detailed images thanks to 20.0 Megapixels and DIGIC 4+ processing. Face Detection technology makes capturing great shots of friends effortless, while Auto Zoom intelligently helps you select the best framing at the touch of a button.","Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
005,30663301,005_30663301,Canon IXUS 175,Canon IXUS 175,,,,,,,,,,"Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies look like miniature scale models and much more. Capture the stunning detail in everyday subjects using 1 cm Macro to get right up close. Enjoy exceptional quality, detailed images thanks to 20.0 Megapixels and DIGIC 4+ processing. Face Detection technology makes capturing great shots of friends effortless, while Auto Zoom intelligently helps you select the best framing at the touch of a button.","Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
006,30692993,006_30692993,Canon IXUS 175,Canon IXUS 175,,,,,,,,,,"Creative play Play with your creativity using a range of Creative Filters. Re-create the distortion of a fish-eye lens, make scenes in stills or movies look like miniature scale models and much more. Capture the stunning detail in everyday subjects using 1 cm Macro to get right up close. Enjoy exceptional quality, detailed images thanks to 20.0 Megapixels and DIGIC 4+ processing. Face Detection technology makes capturing great shots of friends effortless, while Auto Zoom intelligently helps you select the best framing at the touch of a button.","Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
007,30691822,007_30691822,Canon IXUS 285,Canon IXUS 285,,,,,,,,,,"Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically back-up new images to cloud services and capture great group shots with wireless Remote Shooting from your smart device. The Wi-Fi Button offers a quick and easy shortcut to Wi-Fi functions. This ultra-slim and stylish metal-bodied IXUS is easy to carry with you wherever you go and features a flexible 25mm ultra-wide 12x optical zoom lens with 24x ZoomPlus; so you can easily capture every moment, near or far, in superb quality photos and movies. Auto Zoom helps you select the best framing at the touch of a button.",No Description,1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
008,30692992,008_30692992,Canon IXUS 285,Canon IXUS 285,,,,,,,,,,"Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically back-up new images to cloud services and capture great group shots with wireless Remote Shooting from your smart device. The Wi-Fi Button offers a quick and easy shortcut to Wi-Fi functions. This ultra-slim and stylish metal-bodied IXUS is easy to carry with you wherever you go and features a flexible 25mm ultra-wide 12x optical zoom lens with 24x ZoomPlus; so you can easily capture every moment, near or far, in superb quality photos and movies. Auto Zoom helps you select the best framing at the touch of a button.",No Description,1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
009,30692991,009_30692991,Canon IXUS 285,Canon IXUS 285,,,,,,,,,,"Quick connections Connect to your compatible smart device with just one tap using Wi-Fi with Dynamic NFC for easy sharing. Use Image Sync to automatically back-up new images to cloud services and capture great group shots with wireless Remote Shooting from your smart device. The Wi-Fi Button offers a quick and easy shortcut to Wi-Fi functions. This ultra-slim and stylish metal-bodied IXUS is easy to carry with you wherever you go and features a flexible 25mm ultra-wide 12x optical zoom lens with 24x ZoomPlus; so you can easily capture every moment, near or far, in superb quality photos and movies. Auto Zoom helps you select the best framing at the touch of a button.",No Description,1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
010,30692994,010_30692994,Canon IXUS 180,Canon IXUS 180,,,,,,,,,,"Effortless creativity Just point and shoot to capture fantastic photos or movies with one touch of the Auto Button, which allows Smart Auto to take control and choose the perfect camera settings for you. Play with your creativity in stills or movies using a range of Creative Filters such as Fish Eye, Miniature and Toy Camera.  Enjoy exceptional quality, detailed images ideal for creating stunning poster sized prints thanks to 20.0 Megapixels and DIGIC 4+ processing. An intelligent optical Image Stabilizer ensures sharp stills and steady movies in any situation, while the 6.8 cm (2.7”) LCD screen allows easy viewing and sharing.",No Description,1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
