,KEY_VALUE_EXPORT,SOLR_SEARCHABLE,SOLR_SUGGESTION,SOLR_FACET,SOLR_SORT,SOLR_SCORE,MANDATORY_ON_IMPORT,MANDATORY_ON_DISPLAY_IN_SHOP,IS_UNIQUE,HIDDEN_IN_SHOP,CONFIG_ATTRIBUTE,SIMPLE_ATTRIBUTE
ATTRIBUTE_NAME,1,1,1,,1,,1,,,,1,
ATTRIBUTE_DESCRIPTION,,,,,,,,,,,1,
ATTRIBUTE_TAX_RATE,,,,,,,,,,,1,
ATTRIBUTE_SHORT_DESCRIPTION,,,,,,,,,,,1,
ATTRIBUTE_ARTIST_USER_ID,,,,,,,,,,,1,
ATTRIBUTE_USER_ART_ID,,,,,,,,,,,1,
ATTRIBUTE_CURRENCY,,,,,,,,,,,1,
ATTRIBUTE_ARTIST_FIRST_NAME,,,,,,,,,,,1,
ATTRIBUTE_ARTIST_LAST_NAME,,,,,,,,,,,1,
ATTRIBUTE_ARTIST_EMAIL,,,,,,,,,,,1,
ATTRIBUTE_ARTIST_PHONE,,,,,,,,,,,1,
ATTRIBUTE_URL,1,,,,,,,,,,,1
ATTRIBUTE_PRODUCT_SET,1,,,,,,,,,,,1
ATTRIBUTE_PRODUCT_CATEGORY,1,,,,,,,,,,,1
ATTRIBUTE_PRODUCT_ID,,,,,,,,,,,,1
ATTRIBUTE_SHIP_WEIGHT,,,,,,,,,,,,1
ATTRIBUTE_SHIP_DEPTH,,,,,,,,,,,,1
ATTRIBUTE_SHIP_WIDTH,,,,,,,,,,,,1
ATTRIBUTE_SHIP_HEIGHT,,,,,,,,,,,,1
ATTRIBUTE_SHIP_WEIGHT_UNIT,,,,,,,,,,,,1
ATTRIBUTE_SHIP_SIZE_UNIT,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_ADDRESS1,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_ADDRESS2,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_CITY,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_STATE,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_PROVINCE,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_REGION,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_ZIPCODE,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_COUNTRY,,,,,,,,,,,,1
ATTRIBUTE_ORIGIN_COUNTRY_CODE,,,,,,,,,,,,1
ATTRIBUTE_VERIFIED_USER_ID,,,,,,,,,,,,1
ATTRIBUTE_VERIFIED_DATE,,,,,,,,,,,,1
ATTRIBUTE_WRAP_OPTION,,,,,,,,,,,,1
ATTRIBUTE_LE_START,,,,,,,,,,,,1
ATTRIBUTE_LE_END,,,,,,,,,,,,1
ATTRIBUTE_DUTY_CODE,,,,,,,,,,,,1
ATTRIBUTE_PRODUCT_NAME,1,,,,,,,,,,,1
ATTRIBUTE_PRODUCT_TYPE,,,,,,,,,,,,1
ATTRIBUTE_ART_SMALL,1,,,,,,,,,,1,
ATTRIBUTE_ART_TINY_CROP,1,,,,,,,,,,1,
