,CONFIG_ATTRIBUTES,SIMPLE_ATTRIBUTES,KEY_VALUE_EXPORT,SOLR_FACET,SOLR_SCORE,SOLR_SEARCHABLE,SOLR_SORT,SOLR_SUGGESTION,MANDATORY_ON_IMPORT
ATTRIBUTE_NAME,1,1,1,0,1,1,1,1,1
ATTRIBUTE_SHORT_DESCRIPTION,1,0,1,0,0,1,0,0,1
ATTRIBUTE_DESCRIPTION,1,0,1,0,0,1,0,0,1
ATTRIBUTE_TAX_RATE,1,0,1,0,0,0,0,0,1
ATTRIBUTE_BRAND,1,0,1,1,1,1,0,1,1
ATTRIBUTE_PAGE_TITLE,0,1,1,0,0,0,0,0,1
ATTRIBUTE_META_KEYWORDS,1,0,1,0,0,0,0,0,1
ATTRIBUTE_META_DESCRIPTION,0,1,1,0,0,0,0,0,1
ATTRIBUTE_MANUFACTURER_DESCRIPTION,1,0,1,0,0,1,0,0,1
ATTRIBUTE_URL,0,1,1,0,0,0,0,0,1
ATTRIBUTE_COLOR,0,1,1,1,0,1,0,1,1
ATTRIBUTE_LENGTH,0,1,1,1,0,1,0,1,1
ATTRIBUTE_WIDTH,0,1,1,1,0,1,0,1,1
ATTRIBUTE_HEIGHT,0,1,1,1,0,1,0,1,1
ATTRIBUTE_DEPTH,0,1,1,1,0,1,0,1,1
ATTRIBUTE_MATERIAL,1,0,1,1,0,1,0,1,1
ATTRIBUTE_WATT,0,1,1,1,0,1,0,1,1
ATTRIBUTE_SOCKET,0,1,1,1,0,1,0,1,1
