sku,variant_id,quantity,is_never_out_of_stock,stock_type
21416382-1,1,128,0,Warehouse2
20849175-1,1,140,0,Warehouse1
29545166-1,1,9,0,Warehouse2
24401697-1,1,103,0,Warehouse1
25905066-1,1,136,0,Warehouse2
27123315-1,1,157,0,Warehouse2
26231597-1,1,134,0,Warehouse2
29885472-1,1,141,0,Warehouse2
25558467-1,1,99,0,Warehouse2
29900747-1,1,101,0,Warehouse1
29853938-1,1,100,0,Warehouse1
30375360-1,1,26,0,Warehouse2
28548759-1,1,162,0,Warehouse2
28463875-1,1,33,0,Warehouse1
29406168-1,1,48,0,Warehouse2
29750512-1,1,146,0,Warehouse2
27104941-1,1,77,0,Warehouse1
29376694-1,1,7,0,Warehouse1
26058615-1,1,28,0,Warehouse2
28467014-1,1,185,0,Warehouse2
29755564-1,1,90,0,Warehouse2
26512671-1,1,74,0,Warehouse1
30783507-1,1,115,0,Warehouse1
27277017-1,1,19,0,Warehouse1
30579515-1,1,195,0,Warehouse2
26427900-1,1,83,0,Warehouse1
29885591-1,1,123,0,Warehouse2
29911080-1,1,59,0,Warehouse1
24403939-1,1,16,0,Warehouse1
27128227-1,1,91,0,Warehouse1
29804739-1,1,47,0,Warehouse1
29804808-1,1,38,0,Warehouse2
29374842-1,1,121,0,Warehouse1
29804957-1,1,8,0,Warehouse2
29374843-1,1,153,0,Warehouse2
25885453-1,1,112,0,Warehouse1
29406823-1,1,133,0,Warehouse2
28552654-1,1,66,0,Warehouse1
29891383-1,1,199,0,Warehouse1
24801337-1,1,60,0,Warehouse2
23061675-1,1,5,0,Warehouse2
29891842-1,1,87,0,Warehouse2
13710816-1,1,51,0,Warehouse2
24673744-1,1,12,0,Warehouse1
29891041-1,1,37,0,Warehouse2
29529631-1,1,128,0,Warehouse1
29761404-1,2,138,0,Warehouse2
27107296-1,1,6,0,Warehouse1
23087059-1,1,9,0,Warehouse1
30648859-1,1,8,0,Warehouse2
24788120-1,1,5,0,Warehouse2
27003893-1,1,4,0,Warehouse2
27207215-1,2,104,0,Warehouse1
26192836-1,1,184,0,Warehouse2
24235707-1,1,154,0,Warehouse1
27290499-1,1,94,0,Warehouse2
22196533-1,1,186,0,Warehouse2
19611864-1,1,85,0,Warehouse1
29805780-1,1,126,0,Warehouse1
29843537-1,1,101,0,Warehouse2
26175504-1,1,198,0,Warehouse1
26175505-1,1,45,0,Warehouse2
29406183-1,1,194,0,Warehouse1
29406182-1,1,194,0,Warehouse1
29406184-1,2,64,0,Warehouse1
30620196-1,1,164,0,Warehouse1
26552089-1,1,120,0,Warehouse2
25923236-1,1,6,0,Warehouse1
21736789-1,1,35,0,Warehouse2
24751053-1,1,124,0,Warehouse2
23339155-1,1,33,0,Warehouse1
26346564-1,1,146,0,Warehouse1
26408542-1,2,199,0,Warehouse1
26408559-1,1,53,0,Warehouse2
29544908-1,1,126,0,Warehouse2
24675870-1,1,87,0,Warehouse2
29847624-1,1,182,0,Warehouse2
26534020-1,1,58,0,Warehouse2
29579058-1,1,182,0,Warehouse1
29579061-1,2,178,0,Warehouse1
29579056-1,1,53,0,Warehouse2
24602396-1,1,113,0,Warehouse2
29801571-1,1,107,0,Warehouse2
29731567-1,1,195,0,Warehouse2
19682158-1,1,107,0,Warehouse2
19682159-1,2,130,0,Warehouse2
19763031-1,3,137,0,Warehouse1
24666697-1,1,156,0,Warehouse2
30014805-1,1,106,0,Warehouse1
30014807-1,2,59,0,Warehouse1
29901936-1,1,162,0,Warehouse2
12295890-1,1,153,0,Warehouse2
24495842-1,1,77,0,Warehouse1
24495843-1,2,117,0,Warehouse1
26512883-1,3,63,0,Warehouse1
26512884-1,4,104,0,Warehouse2
21047360-1,1,35,0,Warehouse1
29727910-1,1,87,0,Warehouse2
28535676-1,1,135,0,Warehouse1
24495852-1,1,84,0,Warehouse1
24495853-1,2,1,0,Warehouse1
22078075-1,1,180,0,Warehouse2
29634940-1,1,89,0,Warehouse2
29634947-1,2,72,0,Warehouse2
21751902-1,1,145,0,Warehouse2
25905585-1,1,24,0,Warehouse2
25904598-1,1,76,0,Warehouse2
30688700-1,1,48,0,Warehouse2
30021637-1,1,187,0,Warehouse2
18146996-1,1,11,0,Warehouse1
25904691-1,1,59,0,Warehouse2
26224361-1,1,164,0,Warehouse1
29393146-1,1,131,0,Warehouse1
22766226-1,1,35,0,Warehouse1
26141878-1,1,133,0,Warehouse2
26933260-1,1,106,0,Warehouse2
12255434-1,1,131,0,Warehouse1
17365820-1,1,69,0,Warehouse1
18662566-1,1,22,0,Warehouse2
25910847-1,1,13,0,Warehouse2
25955264-1,1,71,0,Warehouse1
30150732-1,1,71,0,Warehouse2
17681791-1,1,13,0,Warehouse2
828188-1,1,98,0,Warehouse2
25904123-1,1,83,0,Warehouse2
19692589-1,1,49,0,Warehouse2
24788780-1,1,24,0,Warehouse1
15619960-1,1,35,0,Warehouse2
29851280-1,1,64,0,Warehouse1
6350138-1,1,19,0,Warehouse2
29545800-1,1,186,0,Warehouse2
29525342-1,1,128,0,Warehouse2
29525343-1,1,10,0,Warehouse2
29518547-1,1,135,0,Warehouse1
29518551-1,1,137,0,Warehouse2
29565391-1,1,196,0,Warehouse1
28373128-1,1,183,0,Warehouse1
29565389-1,1,153,0,Warehouse2
26289661-1,1,185,0,Warehouse1
28586825-1,1,195,0,Warehouse1
25988329-1,1,160,0,Warehouse1
25893779-1,1,9,0,Warehouse2
29414094-1,1,55,0,Warehouse1
29743301-1,1,136,0,Warehouse2
27262160-1,1,111,0,Warehouse2
30274741-1,1,114,0,Warehouse1
26072016-1,1,79,0,Warehouse1
22626962-1,1,13,0,Warehouse1
24980927-1,1,39,0,Warehouse2
29385583-1,1,119,0,Warehouse2
28547942-1,1,95,0,Warehouse2
26981568-1,1,182,0,Warehouse1
26564922-1,1,181,0,Warehouse2
29536449-1,1,73,0,Warehouse2
30345097-1,1,185,0,Warehouse1
21811723-1,1,33,0,Warehouse2
26974234-1,1,110,0,Warehouse1
24692598-1,1,126,0,Warehouse2
