slug,variant_id,sku,name.en_US,manufacturer_name,product_id,image_big,image_small,category_id,category_key,xml_url,on_market,on_market_countries_set,icecat_last_updated,name.de_DE,license
151_acer_731-4699,1,21416382,731-4699,Acer,NX.MGAAA.004,http://images.icecat.biz/img/norm/high/21416382-3804.jpg,http://images.icecat.biz/img/norm/low/21416382-3804.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/21416382.xml,1,US;NL;DE,2016-02-08T22:51:28.000Z,731-4699,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_acer_c720p-2625,1,20849175,C720P-2625,Acer,NX.MJAAA.004,http://images.icecat.biz/img/norm/high/20849175-8984.jpg,http://images.icecat.biz/img/norm/low/20849175-8984.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/20849175.xml,1,US;DE;NL,2015-12-30T05:48:21.000Z,C720P-2625,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_acer_e5-573t-5935,1,29545166,E5-573T-5935,Acer,NX.MW1AA.003,http://images.icecat.biz/img/gallery/29545166_2299.jpg,http://images.icecat.biz/img/gallery_lows/29545166_2299.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/29545166.xml,1,US;NL;DE,2016-01-16T23:15:15.000Z,E5-573T-5935,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_acer_p246-m-52x2,1,24401697,P246-M-52X2,Acer,NX.V9VAA.003,http://images.icecat.biz/img/norm/high/24401697-1462.jpg,http://images.icecat.biz/img/norm/low/24401697-1462.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/24401697.xml,1,NL;DE;US,2016-01-10T09:48:44.000Z,P246-M-52X2,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_asus_t200ta-cp021p,1,25905066,T200TA-CP021P,ASUS,T200TA-CP021P,http://images.icecat.biz/img/norm/high/25905066-280.jpg,http://images.icecat.biz/img/norm/low/25905066-280.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/25905066.xml,1,DE;FR;NL,2016-01-17T18:15:45.000Z,T200TA-CP021P,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_asus_t300chi-fl040p,1,27123315,T300CHI-FL040P,ASUS,90NB07G1-M03510,http://images.icecat.biz/img/gallery/27123315_0280.jpg,http://images.icecat.biz/img/gallery_lows/27123315_0280.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/27123315.xml,1,FI;FR;IT;GB;DE;AT;NL;BE,2016-02-08T10:08:28.000Z,T300CHI-FL040P,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_asus_ux305fa-asm1,1,26231597,UX305FA-ASM1,ASUS,90NB06X1-M02240,http://images.icecat.biz/img/gallery/26231597_9301.jpg,http://images.icecat.biz/img/gallery_lows/26231597_9301.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/26231597.xml,1,NL;DE;US,2015-12-27T05:49:26.000Z,UX305FA-ASM1,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_dell_13,1,29885472,13,DELL,7310-6702,http://images.icecat.biz/img/norm/high/29885472-5675.jpg,http://images.icecat.biz/img/norm/low/29885472-5675.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/29885472.xml,1,NL;DE;BE,2016-01-17T01:02:24.000Z,13,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_dell_3450,1,25558467,3450,DELL,3450-7478,http://images.icecat.biz/img/norm/high/25558467-2658.jpg,http://images.icecat.biz/img/norm/low/25558467-2658.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/25558467.xml,1,IE;US;DE;GB;NL,2016-01-05T21:27:32.000Z,3450,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_dell_7359,1,29900747,7359,DELL,I7359-1952SLV,http://images.icecat.biz/img/gallery/29900747_6560.jpg,http://images.icecat.biz/img/gallery_lows/29900747_6560.jpg,151,43171801,http://data.icecat.biz/export/freexml/INT/29900747.xml,1,US;DE;NL,2015-12-30T16:55:03.000Z,7359,"The CSV icecat_products.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
