externalId,name.de,slug.de
2,Software,2_software
4,Datenbank-Software,4_datenbank-software
7,Betriebssysteme,7_betriebssysteme
12,Office-Pakete,12_office-pakete
14,Finanzanalyse Software,14_finanzanalyse-software
15,Buchhaltungs-Software,15_buchhaltungs-software
21,Multimedia-Software,21_multimedia-software
24,OCR Software,24_ocr-software
25,Spracherkennungs-Software,25_spracherkennungs-software
26,Desktop-Publishingsoftware,26_desktop-publishingsoftware
27,Präsentations-Software,27_prasentations-software
28,Textverarbeitung,28_textverarbeitung
31,Computer Aided Design (CAD) Software,31_computer-aided-design-cad-software
32,Graphik Software,32_graphik-software
38,Projektmanagement-Software,38_projektmanagement-software
42,Tabellenkalkulations-Software,42_tabellenkalkulations-software
44,Musik/Audio Software,44_musikaudio-software
47,Beschriftungs-Software,47_beschriftungs-software
51,Entwicklungs-Software,51_entwicklungs-software
55,PC Dienstprogramme,55_pc-dienstprogramme
56,Backup-Recovery-Software,56_backup-recovery-software
57,Barcode-Software,57_barcode-software
58,Sicherheitsmanagement-Software,58_sicherheitsmanagement-software
59,Übersetzungs-Software,59_ubersetzungs-software
60,Druckfunktionen,60_druckfunktionen
62,Antivirus-Sicherheits-Software,62_antivirus-sicherheits-software
63,Allgemeine Utility-Software,63_allgemeine-utility-software
65,Systemmanagement-Software,65_systemmanagement-software
66,Speicher-Software,66_speicher-software
67,Netzwerk-Software,67_netzwerk-software
73,Terminal-Emulations-Software,73_terminal-emulations-software
80,Switch & Router-Software,80_switch-router-software
82,Kommunikation-Server-Software,82_kommunikation-server-software
87,Modem-Software,87_modem-software
88,Remote-Access-Software,88_remote-access-software
89,Video-Software,89_video-software
94,Videospiele,94_videospiele
95,Screensaver-Software,95_screensaver-software
98,Familientitel,98_familientitel
99,Lern-Software,99_lern-software
106,Computer-Komponenten,106_computer-komponenten
107,Telekommunikation und Navigation,107_telekommunikation-und-navigation
114,Telefonumschalter-Zubehör,114_telefonumschalter-zubehor
115,Schaltanlagen-Zubehör,115_schaltanlagen-zubehor
117,Telefone,117_telefone
119,Handys,119_handys
122,Anrufbeantworter,122_anrufbeantworter
123,Mobile Headsets,123_mobile-headsets
125,Anruf-Management-System,125_anruf-management-system
127,Telefonhalterung,127_telefonhalterung
137,Netzwerk-Antennen,137_netzwerk-antennen
142,Telekonferenz-Zubehör,142_telekonferenz-zubehor
148,Leitungsverstärker,148_leitungsverstarker
150,Computer,150_computer
151,Notebooks,151_notebooks
152,Notebook-Dockingstationen & Portreplikatoren,152_notebook-dockingstationen-portreplikatoren
153,PCs/Workstations,153_pcsworkstations
154,Handheld Mobile Computer,154_handheld-mobile-computer
155,Mainframe Computer,155_mainframe-computer
156,Server,156_server
159,POS-Terminal,159_pos-terminal
164,Motherboards,164_motherboards
166,Schnittstellen-Komponenten,166_schnittstellen-komponenten
170,Grafikkarten,170_grafikkarten
173,Audiokarten,173_audiokarten
175,Schnittstellenkarten/Adapter,175_schnittstellenkartenadapter
178,Decoder,178_decoder
182,Netzwerkkarten,182_netzwerkkarten
184,MIDI-Schnittstellenadapter,184_midi-schnittstellenadapter
186,Video-Aufnahme-Gerät,186_video-aufnahme-gerat
189,Multimedia Kits,189_multimedia-kits
191,Dateneingabegeräte,191_dateneingabegerate
