externalId,name.en,slug.en
2,software,2_software
4,database software,4_database-software
7,operating systems,7_operating-systems
12,office suites,12_office-suites
14,financial analysis software,14_financial-analysis-software
15,accounting software,15_accounting-software
21,multimedia software,21_multimedia-software
24,Optical Character Recognition (OCR) software,24_optical-character-recognition-ocr-software
25,voice recognition software,25_voice-recognition-software
26,desktop publishing software,26_desktop-publishing-software
27,presentation software,27_presentation-software
28,word processors,28_word-processors
31,Computer Aided Design (CAD) software,31_computer-aided-design-cad-software
32,graphics software,32_graphics-software
38,project management software,38_project-management-software
42,spreadsheet software,42_spreadsheet-software
44,audio editing software,44_audio-editing-software
47,labeling software,47_labeling-software
51,development software,51_development-software
55,computer utilities,55_computer-utilities
56,backup recovery software,56_backup-recovery-software
57,bar coding software,57_bar-coding-software
58,security management software,58_security-management-software
59,translation software,59_translation-software
60,print utilities,60_print-utilities
62,antivirus security software,62_antivirus-security-software
63,general utility software,63_general-utility-software
65,system management software,65_system-management-software
66,storage software,66_storage-software
67,networking software,67_networking-software
73,terminal emulation software,73_terminal-emulation-software
80,switch & router software,80_switch-router-software
82,communications server software,82_communications-server-software
87,modem software,87_modem-software
88,remote access software,88_remote-access-software
89,video software,89_video-software
94,video games,94_video-games
95,screen savers,95_screen-savers
98,family titles,98_family-titles
99,educational software,99_educational-software
106,computer components,106_computer-components
107,telecom & navigation,107_telecom-navigation
114,telephone switching equipment,114_telephone-switching-equipment
115,switchboard equipment,115_switchboard-equipment
117,telephones,117_telephones
119,mobile phones,119_mobile-phones
122,answering machines,122_answering-machines
123,mobile headsets,123_mobile-headsets
125,call management system,125_call-management-system
127,telephone rests,127_telephone-rests
137,network antennas,137_network-antennas
142,teleconferencing equipment,142_teleconferencing-equipment
148,line conditioners,148_line-conditioners
150,computers,150_computers
151,notebooks,151_notebooks
152,notebook docks & port replicators,152_notebook-docks-port-replicators
153,PCs/workstations,153_pcsworkstations
154,handheld mobile computers,154_handheld-mobile-computers
155,mainframe computers,155_mainframe-computers
156,servers,156_servers
159,POS terminals,159_pos-terminals
164,motherboards,164_motherboards
166,interface components,166_interface-components
170,graphics cards,170_graphics-cards
173,audio cards,173_audio-cards
175,interface cards/adapters,175_interface-cardsadapters
178,decoders,178_decoders
182,networking cards,182_networking-cards
184,MIDI interface adapters,184_midi-interface-adapters
186,video capturing devices,186_video-capturing-devices
189,multimedia kits,189_multimedia-kits
191,data input devices,191_data-input-devices
192,graphic tablets,192_graphic-tablets
193,gaming controls,193_gaming-controls
194,keyboards,194_keyboards
195,mice,195_mice
196,wireless presenters,196_wireless-presenters
197,scanners,197_scanners
198,touch pads,198_touch-pads
201,punch card readers,201_punch-card-readers
202,light pens,202_light-pens
203,stylus pens,203_stylus-pens
204,mouse pads,204_mouse-pads
206,data storage,206_data-storage
208,optical jukeboxes & changers,208_optical-jukeboxes-changers
210,disk arrays,210_disk-arrays
211,floppy drives,211_floppy-drives
214,optical disc drives,214_optical-disc-drives
215,tape drives,215_tape-drives
217,tape arrays,217_tape-arrays
218,tape auto loaders & libraries,218_tape-auto-loaders-libraries
219,internal hard drives,219_internal-hard-drives
220,TVs & monitors,220_tvs-monitors
221,monitors CRT,221_monitors-crt
222,PC flat panels,222_pc-flat-panels
223,touch screen monitors,223_touch-screen-monitors
225,printers & supplies,225_printers-supplies
227,band printers,227_band-printers
228,dot matrix printers,228_dot-matrix-printers
229,label printers,229_label-printers
230,large format printers,230_large-format-printers
