externalId,name.fr,slug.fr
2,logiciels,2_logiciels
4,logiciels de bases de données,4_logiciels-de-bases-de-donnees
7,systèmes d'exploitation,7_systemes-dexploitation
12,logiciels office,12_logiciels-office
14,logiciels d'analyse financiere,14_logiciels-danalyse-financiere
15,logiciels de comptabilité,15_logiciels-de-comptabilite
21,logiciels de multimédia,21_logiciels-de-multimedia
24,logiciels de reconnaissance optique de caractères  (ROC),24_logiciels-de-reconnaissance-optique-de-caracteres-roc
25,logiciels de reconnaissance vocale,25_logiciels-de-reconnaissance-vocale
26,logiciels d'édition bureautique,26_logiciels-dedition-bureautique
27,logiciels de présentation,27_logiciels-de-presentation
28,logiciels de traitement de texte,28_logiciels-de-traitement-de-texte
31,logiciels de conception assistée par ordinateur (CAO),31_logiciels-de-conception-assistee-par-ordinateur-cao
32,logiciels de création graphiques et photos,32_logiciels-de-creation-graphiques-et-photos
38,logiciels de gestion de projet,38_logiciels-de-gestion-de-projet
42,logiciels de feuilles de calcul,42_logiciels-de-feuilles-de-calcul
44,logiciels audio et musique,44_logiciels-audio-et-musique
47,logiciels d'édition d'étiquettes,47_logiciels-dedition-detiquettes
51,logiciels de développement,51_logiciels-de-developpement
55,utilitaires PC,55_utilitaires-pc
56,logiciels de sauvegarde ou de récupération de données,56_logiciels-de-sauvegarde-ou-de-recuperation-de-donnees
57,logiciels codes barres,57_logiciels-codes-barres
58,logiciels de gestion de la securité,58_logiciels-de-gestion-de-la-securite
59,logiciels de traduction,59_logiciels-de-traduction
60,utilitaires d'impression,60_utilitaires-dimpression
62,logiciels antivirus et sécurité,62_logiciels-antivirus-et-securite
63,logiciels d'utilités générales,63_logiciels-dutilites-generales
65,logiciels de gestion de systèmes,65_logiciels-de-gestion-de-systemes
66,logiciels de stockages,66_logiciels-de-stockages
67,logiciels de réseaux,67_logiciels-de-reseaux
73,logiciels d'émulation de virtualisation et de terminal,73_logiciels-demulation-de-virtualisation-et-de-terminal
80,logiciels de commutateurs réseaux et de routeurs,80_logiciels-de-commutateurs-reseaux-et-de-routeurs
82,logiciels de serveurs de communication,82_logiciels-de-serveurs-de-communication
87,logiciels de modems,87_logiciels-de-modems
88,logiciels d'accès à distance,88_logiciels-dacces-a-distance
89,logiciels de vidéos,89_logiciels-de-videos
94,jeux vidéos,94_jeux-videos
95,économiseurs d'écrans,95_economiseurs-decrans
98,titres des familles,98_titres-des-familles
99,logiciels éducatifs,99_logiciels-educatifs
106,composants,106_composants
107,télécommunications et navigation,107_telecommunications-et-navigation
114,équipements de commutation téléphonique,114_equipements-de-commutation-telephonique
115,équipements pour standard téléphonique,115_equipements-pour-standard-telephonique
117,téléphones,117_telephones
119,téléphones portables,119_telephones-portables
122,répondeurs,122_repondeurs
123,casques et micros,123_casques-et-micros
125,systèmes de gestion d'appelles,125_systemes-de-gestion-dappelles
127,autres téléphones,127_autres-telephones
137,antennes,137_antennes
142,équipements de téléconférence,142_equipements-de-teleconference
148,câbles d'alimentation,148_cables-dalimentation
150,ordinateurs,150_ordinateurs
151,notebooks,151_notebooks
152,stations d'accueil,152_stations-daccueil
153,PC/postes de travail,153_pcpostes-de-travail
154,ordinateurs portable de poche,154_ordinateurs-portable-de-poche
155,ordinateurs centraux,155_ordinateurs-centraux
156,serveurs,156_serveurs
