category_feature_group_id,catid,feature_group_id,no
1,1,1,0
2,153,1,100
3,153,3,95
5,153,4,93
8,56,6,10
9,56,7,7
10,56,8,8
11,62,8,44
13,58,7,0
14,58,8,0
21,584,5,175
26,575,8,-8
28,173,1,1
29,173,9,20
30,173,8,10
32,151,4,150
33,151,5,170
35,151,1,200
36,151,12,110
37,584,13,195
38,584,14,-20
39,575,13,95
40,575,14,-10
41,575,5,21
42,575,3,24
44,577,14,-1
46,234,15,78
47,234,16,80
48,234,17,68
49,234,18,70
50,234,8,11
51,234,19,14
52,234,12,58
53,234,14,44
54,234,20,77
55,575,21,85
56,575,12,19
57,575,22,100
58,154,3,57
59,154,5,58
60,154,14,2
61,154,1,56
65,219,14,-1
67,219,2,60
68,304,15,23
69,304,18,16
70,304,17,14
72,304,14,-10
73,304,12,9
75,304,24,20
76,304,25,22
77,304,26,18
78,304,27,2
79,235,15,90
81,235,14,-10
82,235,18,80
83,235,17,79
84,235,20,100
85,235,12,55
87,235,8,5
88,235,3,40
89,235,27,16
90,197,14,-20
91,197,12,70
92,197,8,-10
93,197,27,45
94,197,24,100
96,850,14,-10
97,850,9,90
98,222,14,-1
99,222,27,35
100,222,5,90
101,850,12,55
104,214,14,-15
105,214,8,-5
106,151,3,190
107,151,2,180
108,151,14,30
109,151,27,55
110,151,9,140
111,214,28,-10
117,67,6,10
118,67,8,15
119,1,0,0
120,2,0,0
122,4,0,1
124,6,0,0
127,9,0,0
128,10,0,0
129,11,0,0
131,13,0,0
132,14,0,0
133,15,0,2
134,16,0,0
135,17,0,0
136,18,0,0
137,19,0,0
138,20,0,0
139,21,0,0
142,24,0,0
143,25,0,2
145,27,0,0
146,28,0,1
147,29,0,0
149,31,0,0
151,33,0,0
153,35,0,0
155,37,0,0
156,38,0,2
157,39,0,0
160,42,0,0
162,44,0,0
163,45,0,0
164,46,0,0
165,47,0,0
167,49,0,0
169,51,0,0
170,52,0,0
172,54,0,0
173,55,0,0
175,57,0,0
176,58,0,0
177,59,0,0
178,60,0,0
181,63,0,2
183,65,0,0
184,66,0,0
185,67,0,0
191,73,0,2
192,74,0,0
197,79,0,0
198,80,0,0
199,81,0,0
200,82,0,0
205,87,0,22
206,88,0,0
207,89,0,1
208,90,0,0
210,92,0,0
213,95,0,0
216,98,0,0
217,99,0,1
218,100,0,0
219,101,0,0
220,102,0,0
221,103,0,0
222,104,0,0
223,105,0,0
224,106,0,0
225,107,0,0
226,108,0,0
228,110,0,0
229,111,0,0
230,112,0,0
231,113,0,0
232,114,0,0
233,115,0,0
234,116,0,0
237,119,0,18
239,121,0,0
240,122,0,0
242,124,0,0
243,125,0,0
245,127,0,0
246,128,0,0
247,129,0,0
248,130,0,0
249,131,0,0
250,132,0,0
251,133,0,0
252,134,0,0
253,135,0,0
254,136,0,0
258,140,0,0
259,141,0,0
260,142,0,14
261,143,0,0
262,144,0,0
263,145,0,0
264,146,0,0
266,148,0,1
267,149,0,0
268,150,0,0
269,151,0,-100
272,154,0,1
273,155,0,0
276,158,0,0
278,160,0,0
284,166,0,0
285,167,0,0
291,173,0,8
295,177,0,0
296,178,0,0
297,179,0,0
298,180,0,0
299,181,0,0
302,184,0,0
303,185,0,0
304,186,0,110
306,188,0,0
307,189,0,0
309,191,0,0
310,192,0,85
311,193,0,-1
314,196,0,-1
316,198,0,0
319,201,0,0
320,202,0,1
321,203,0,100
323,205,0,0
324,206,0,0
326,208,0,0
327,209,0,0
329,211,0,-1
335,217,0,0
338,220,0,44
339,221,0,-1
343,225,0,0
345,227,0,93
349,231,0,22
350,232,0,0
352,234,0,-1
354,236,0,0
356,238,0,0
357,239,0,0
359,241,0,0
360,242,0,0
364,246,0,0
366,248,0,0
367,249,0,0
371,253,0,1
372,254,0,30
374,256,0,0
381,263,0,0
385,273,0,0
387,275,0,0
388,276,0,0
389,277,0,0
390,278,0,0
391,279,0,0
393,281,0,8
395,283,0,8
398,286,0,0
399,287,0,0
401,291,0,0
404,294,0,0
406,298,0,0
408,300,0,0
409,301,0,0
410,302,0,-1
411,303,0,67
414,306,0,0
415,307,0,10
418,310,0,0
420,312,0,0
421,313,0,0
425,317,0,0
426,318,0,0
427,319,0,0
428,320,0,0
429,321,0,0
430,322,0,0
431,323,0,0
433,325,0,0
434,326,0,0
435,327,0,0
436,328,0,0
437,329,0,0
438,330,0,0
440,332,0,18
441,333,0,0
442,334,0,0
443,335,0,0
444,336,0,0
445,337,0,0
446,338,0,0
447,339,0,0
448,340,0,0
449,341,0,0
450,342,0,0
451,343,0,0
452,344,0,0
454,346,0,0
455,347,0,0
456,348,0,0
457,349,0,0
458,350,0,0
459,351,0,0
460,352,0,0
461,353,0,0
