feature_id,sid,tid,measure_id,type,class,limit_direction,searchable,restricted_values,updated,last_published,value_sorting,avoid_auto_ordering,num_products,highlight_supplier_id,brand_specific
5,647,27,18,numerical,0,2,0,,2008-09-25 12:25:49,1222338349,0,0,30366,0,0
6,649,29,19,numerical,0,2,0,,2010-10-12 14:30:09,1286886609,0,0,59777,0,0
7,651,31,20,numerical,0,2,0,,2008-03-23 15:19:12,1206281952,0,0,231612,0,0
11,656,36,19,numerical,1,0,0,,2011-01-31 17:10:15,1296490215,0,0,3813,0,0
12,658,38,26,y_n,0,0,0,,2016-02-01 14:47:25,1454335809,0,0,55307,0,0
14,661,41,17,numerical,0,1,0,,2013-03-07 11:37:19,1362658248,0,0,22573,0,0
16,665,43,21,numerical,0,2,0,,2008-02-12 13:19:47,1202818787,0,0,22253,0,0
21,672,50,29,text,0,3,0,,2009-01-05 16:29:18,1231169358,0,0,60597,0,0
22,674,52,26,y_n,0,3,0,Y\nN,2016-02-01 15:03:21,1454335809,0,0,76829,0,0
23,676,54,27,numerical,0,0,0,,2011-05-18 15:14:37,1305724477,0,0,2405,0,0
27,683,61,19,numerical,0,3,0,0\n0.125\n0.144\n0.198\n0.256\n0.5\n1\n1.5\n2\n4\n8\n16\n32\n64\n96\n128\n256,2008-04-08 11:20:08,1207646408,0,0,20757,0,0
28,684,62,27,numerical,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,2663,0,0
29,685,63,27,numerical,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,2009,0,0
30,687,65,29,numerical,0,0,0,2\n4\n6,2008-04-15 15:19:07,1208265547,0,0,64,0,0
31,689,66,29,text,0,3,0,,2007-11-11 05:18:59,1194754739,0,0,373271,0,0
32,690,67,24,2d,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,29520,0,0
33,692,69,30,numerical,0,0,0,,2010-09-06 16:30:03,1283783403,0,0,4493,0,0
34,693,70,29,dropdown,0,3,0,150:1\n200:1\n250:1\n300:1\n350:1\n400:1\n430:1\n450:1\n500:1\n550:1\n600:1\n650:1\n700:1\n750:1\n800:1\n850:1\n900:1\n1000:1\n1100:1\n1200:1\n1300:1\n1400:1\n1500:1\n1600:1\n1650:1\n1700:1\n1800:1\n2000:1\n2500:1\n2600:1\n2800:1\n2900:1\n3000:1\n3500:1\n4000:1\n4500:1\n4600:1\n5000:1\n3200:1\n3700:1\n2100:1\n2300:1\n5000:1\n2200:1\n10000:1\n7000:1\n6000:1\n5300:1\n13000:1\n3800:1\n4150:1\n2400:1\n2700:1\n1450:1\n8000:1\n120:1\n15000:1\n5500:1\n7500:1\n17000:1\n18000:1\n12000:1\n11000:1\n120000:1\n150000:1\n8300:1\n3300:1\n60000:1\n100000:1\n100:1\n16000:1\n4800:1\n6500:1\n3100:1\n580:1\n20000:1,2016-02-03 13:30:07,1311882587,0,0,73951,0,0
35,695,72,31,range,0,0,0,,2011-05-30 13:10:25,1306753825,0,0,13630,0,0
