feature_group_id,sid
1,2430
2,2431
3,2432
4,2433
5,2434
6,2441
7,2442
8,2443
9,2489
12,2498
13,2504
14,2512
15,2513
16,2514
17,2515
18,2516
19,2517
20,2518
21,2519
22,2520
23,2521
24,2522
25,2523
26,2524
27,2525
28,2534
0,2537
31,2538
32,2567
33,2568
34,2570
35,2584
36,2591
37,2592
38,2595
39,2603
40,2611
41,2774
42,2798
43,2802
44,2818
45,2821
46,2845
47,3051
48,3056
49,3332
50,3811
51,3860
53,3898
54,4055
55,4060
56,4072
58,4659
59,4836
60,4837
61,4864
62,4926
63,4927
64,4930
65,4937
66,4944
67,4953
68,4964
69,4966
70,4969
71,4970
72,4988
73,5015
74,5016
75,5027
76,5139
77,5187
78,5188
79,5192
80,5267
83,5351
84,5362
85,5363
86,5364
87,5381
88,5454
89,5455
90,5476
91,5508
92,5509
93,5513
94,5555
95,5596
96,5602
97,5651
98,5798
99,5802
100,5974
101,5976
103,6142
104,6159
105,6209
106,6214
107,6232
108,6233
109,6263
110,6313
111,6323
112,6324
113,6369
114,8155
115,8156
116,8157
117,8158
118,8163
119,8164
121,8430
122,8431
123,8578
124,9261
125,9600
126,9918
127,10246
128,10408
129,10693
130,10764
131,10831
132,10832
133,10833
134,10834
135,70800
136,71612
137,71890
138,71893
139,71897
140,73080
141,73315
142,73361
143,73429
144,73466
145,73472
146,73562
148,73690
149,73836
150,74043
151,74044
152,74604
153,74607
154,74613
155,74772
156,74938
157,74949
158,75036
159,75416
160,75423
161,75457
162,75739
163,75914
164,76569
165,76655
166,79564
167,79717
169,79723
170,79725
171,81665
173,82925
174,86606
175,86766
178,88137
179,89031
180,89045
181,89770
182,89771
183,90329
184,90933
185,90995
186,91141
187,91444
188,92713
189,96225
190,98676
191,98948
192,98949
193,98950
194,98951
195,98952
196,98953
197,98954
198,103553
