sku,variantId,quantity,is_never_out_of_stock,stock_type
14121494,1,2,0,Warehouse1
13890146,1,2,0,Warehouse1
13890148,1,2,0,Warehouse2
4055703,1,2,0,Warehouse1
5750021,1,1595,0,Warehouse2
7976734,1,1940,0,Warehouse1
29948717,1,1721,0,Warehouse1
22314974,1,2429,0,Warehouse1
23381,1,821,0,Warehouse1
639892,1,1124,0,Warehouse1
859882,1,2243,0,Warehouse1
4732638,1,311,0,Warehouse1
6833424,1,1936,0,Warehouse1
21037297,1,209,0,Warehouse1
8171611,1,1323,0,Warehouse1
21611149,1,843,0,Warehouse1
4732634,1,836,0,Warehouse1
108910,1,2229,0,Warehouse1
3140634,1,583,0,Warehouse1
14972508,1,2134,0,Warehouse1
45711,1,2700,0,Warehouse1
4468,1,1277,0,Warehouse1
5595,2,2386,0,Warehouse1
2270456,1,304,0,Warehouse1
29073,1,431,0,Warehouse1
639851,1,1333,0,Warehouse1
14537955,1,63,0,Warehouse1
29065,1,1765,0,Warehouse1
1106068,1,929,0,Warehouse1
8524971,1,1129,0,Warehouse1
25396284,1,1890,0,Warehouse1
1105701,1,2440,0,Warehouse1
14716698,1,1620,0,Warehouse1
14716699,2,1835,0,Warehouse1
2254369,1,187,0,Warehouse1
2254266,1,215,0,Warehouse1
513856,1,775,0,Warehouse1
14729468,1,1909,0,Warehouse1
2125997,1,2645,0,Warehouse1
4004545,1,1597,0,Warehouse1
3748125,1,34,0,Warehouse1
8202072,1,1888,0,Warehouse1
23332594,1,1908,0,Warehouse1
7977997,1,1970,0,Warehouse1
1489908,1,2097,0,Warehouse1
10974298,1,231,0,Warehouse1
7027109,1,2813,0,Warehouse1
30387095,1,2934,0,Warehouse1
30387094,1,2461,0,Warehouse1
3539039,1,396,0,Warehouse1
3612999,1,2068,0,Warehouse1
7793169,1,2161,0,Warehouse1
17639078,1,1674,0,Warehouse1
12816149,1,1455,0,Warehouse1
22622548,1,2466,0,Warehouse1
21679467,1,2106,0,Warehouse1
13560960,1,2788,0,Warehouse1
1347318,1,2529,0,Warehouse1
1077137,1,871,0,Warehouse1
917146,1,717,0,Warehouse1
2131246,1,659,0,Warehouse1
10709349,1,2762,0,Warehouse1
2333820,1,158,0,Warehouse1
3993611,1,2279,0,Warehouse1
26065580,1,1597,0,Warehouse1
1510424,1,346,0,Warehouse1
1569507,1,2494,0,Warehouse1
13945602,1,2373,0,Warehouse1
3590,1,2255,0,Warehouse1
1105912,1,2139,0,Warehouse1
14537956,1,970,0,Warehouse1
2254712,1,2289,0,Warehouse1
326946,1,1028,0,Warehouse1
13391282,1,2879,0,Warehouse1
14765923,1,1259,0,Warehouse1
917674,1,125,0,Warehouse1
8863287,1,110,0,Warehouse1
5748792,1,1072,0,Warehouse1
13719413,1,60,0,Warehouse1
12555808,1,2571,0,Warehouse1
1239166,1,1468,0,Warehouse1
8194895,1,2129,0,Warehouse1
8194897,1,1733,0,Warehouse1
8194908,1,143,0,Warehouse1
4017276,1,584,0,Warehouse1
24406541,1,1200,0,Warehouse1
20768968,1,2249,0,Warehouse1
18194988,1,372,0,Warehouse1
14816276,1,730,0,Warehouse1
21356271,1,121,0,Warehouse1
20739484,1,1090,0,Warehouse1
20739483,1,1389,0,Warehouse1
15759614,1,2883,0,Warehouse1
15759612,1,1248,0,Warehouse1
22759595,1,668,0,Warehouse1
18402830,1,1481,0,Warehouse1
21356270,1,1594,0,Warehouse1
10984063,1,163,0,Warehouse1
10984064,1,854,0,Warehouse1
8169782,1,849,0,Warehouse1
10984067,1,2302,0,Warehouse1
10984068,1,1824,0,Warehouse1
21052261,1,139,0,Warehouse1
22759585,1,331,0,Warehouse1
22759586,1,1703,0,Warehouse1
20956716,1,1398,0,Warehouse1
26057953,1,457,0,Warehouse1
26057952,1,1814,0,Warehouse1
25880237,1,2470,0,Warehouse1
25957410,1,517,0,Warehouse1
12804357,1,1386,0,Warehouse1
24582697,1,939,0,Warehouse1
24436599,1,2646,0,Warehouse1
24436600,1,120,0,Warehouse1
30340745,1,1083,0,Warehouse1
24777373,1,231,0,Warehouse1
24236226,1,1320,0,Warehouse1
24401696,1,332,0,Warehouse1
27231711,1,604,0,Warehouse1
25560816,1,2051,0,Warehouse1
24219551,1,453,0,Warehouse1
24781495,1,1694,0,Warehouse1
27039266,1,440,0,Warehouse1
9030720,1,337,0,Warehouse1
9030719,1,2943,0,Warehouse1
9481912,1,1109,0,Warehouse1
9030717,1,1818,0,Warehouse1
26179733,1,1538,0,Warehouse1
22624931,1,1272,0,Warehouse1
22624932,1,2672,0,Warehouse1
26179732,1,2388,0,Warehouse1
18306356,1,575,0,Warehouse1
30340744,1,1497,0,Warehouse1
21976499,1,2527,0,Warehouse1
22618507,1,906,0,Warehouse1
27320820,1,201,0,Warehouse1
21824022,1,925,0,Warehouse1
18282355,1,1363,0,Warehouse1
24648749,1,2015,0,Warehouse1
27107242,1,396,0,Warehouse1
29899867,1,1880,0,Warehouse1
29899870,1,402,0,Warehouse1
24568888,1,1336,0,Warehouse1
27107243,1,1527,0,Warehouse1
24385468,1,522,0,Warehouse1
24761895,1,2419,0,Warehouse1
27012103,1,1758,0,Warehouse1
22673659,1,1843,0,Warehouse1
20969730,1,2752,0,Warehouse1
19866739,1,2362,0,Warehouse1
22307429,1,894,0,Warehouse1
27107245,1,205,0,Warehouse1
25924498,1,1057,0,Warehouse1
19567673,1,1335,0,Warehouse1
29721591,1,542,0,Warehouse1
20826080,1,1000,0,Warehouse1
24893003,1,2444,0,Warehouse1
18282536,1,2361,0,Warehouse1
23227458,1,2538,0,Warehouse1
27107246,1,716,0,Warehouse1
17698758,1,2033,0,Warehouse1
19204272,1,1926,0,Warehouse1
19281833,2,1291,0,Warehouse1
23064975,1,530,0,Warehouse1
21976540,1,1454,0,Warehouse1
24566959,1,2197,0,Warehouse1
25560786,1,731,0,Warehouse1
25560788,2,2379,0,Warehouse1
30348642,1,561,0,Warehouse1
28547728,1,2747,0,Warehouse1
24563278,1,2776,0,Warehouse1
22648534,1,2441,0,Warehouse1
23117133,1,149,0,Warehouse1
23117134,2,1112,0,Warehouse1
24243036,3,969,0,Warehouse1
24243038,4,672,0,Warehouse1
25063728,1,531,0,Warehouse1
23117149,1,2728,0,Warehouse1
23117150,2,2516,0,Warehouse1
24243037,3,283,0,Warehouse1
24243039,4,2090,0,Warehouse1
24243042,5,411,0,Warehouse1
24243043,6,489,0,Warehouse1
24243044,7,148,0,Warehouse1
24243045,8,1746,0,Warehouse1
24357269,9,1032,0,Warehouse1
23045975,1,1148,0,Warehouse1
23045976,2,1190,0,Warehouse1
23045978,1,393,0,Warehouse1
24566957,2,687,0,Warehouse1
25558498,1,1907,0,Warehouse1
25558499,2,2426,0,Warehouse1
25558500,3,2614,0,Warehouse1
23045974,1,198,0,Warehouse1
23117151,2,2957,0,Warehouse1
29727439,1,1069,0,Warehouse1
20768963,1,2396,0,Warehouse1
29368117,2,689,0,Warehouse1
29888308,1,448,0,Warehouse1
25977667,1,2957,0,Warehouse1
25977668,2,437,0,Warehouse1
25977669,3,224,0,Warehouse1
10995521,1,2399,0,Warehouse1
19673322,1,586,0,Warehouse1
23139282,1,1336,0,Warehouse1
29396535,1,369,0,Warehouse1
28352658,1,1259,0,Warehouse1
29389815,1,1868,0,Warehouse1
26440432,1,97,0,Warehouse1
29646096,1,776,0,Warehouse1
29726688,1,2152,0,Warehouse1
20429256,1,2188,0,Warehouse1
25956255,1,1187,0,Warehouse1
25956257,2,2641,0,Warehouse1
24792200,1,2336,0,Warehouse1
24398885,1,2934,0,Warehouse1
22592010,1,674,0,Warehouse1
24337746,2,485,0,Warehouse1
28548417,1,1125,0,Warehouse1
29637666,1,1067,0,Warehouse1
29421958,1,1173,0,Warehouse1
30140062,1,32,0,Warehouse1
30140064,1,494,0,Warehouse1
20971885,1,788,0,Warehouse1
20971886,1,231,0,Warehouse1
20971889,1,452,0,Warehouse1
22629291,1,1857,0,Warehouse1
22629292,1,2628,0,Warehouse1
25905980,1,1142,0,Warehouse1
25905981,2,2305,0,Warehouse1
25956250,1,2586,0,Warehouse1
19618488,1,1579,0,Warehouse1
19618489,2,2530,0,Warehouse1
24337732,3,1985,0,Warehouse1
29726686,1,2166,0,Warehouse1
29537653,1,867,0,Warehouse1
24697398,1,2354,0,Warehouse1
17383495,1,425,0,Warehouse1
21844740,1,2736,0,Warehouse1
14555384,1,2452,0,Warehouse1
17350432,2,1201,0,Warehouse1
17350433,3,1888,0,Warehouse1
22648524,1,1640,0,Warehouse1
22648525,2,2389,0,Warehouse1
22763383,1,1530,0,Warehouse1
22763384,2,976,0,Warehouse1
22763385,3,2323,0,Warehouse1
22139360,1,2204,0,Warehouse1
19176291,1,1461,0,Warehouse1
25957094,1,448,0,Warehouse1
20085312,1,272,0,Warehouse1
3515698,1,2634,0,Warehouse1
4733605,2,480,0,Warehouse1
23061047,1,767,0,Warehouse1
25957082,2,422,0,Warehouse1
25957083,3,712,0,Warehouse1
26477131,4,1219,0,Warehouse1
15728518,1,2279,0,Warehouse1
15728545,2,340,0,Warehouse1
23018615,1,2361,0,Warehouse1
23018617,2,1585,0,Warehouse1
24778678,1,2926,0,Warehouse1
24778679,2,941,0,Warehouse1
21765104,1,1116,0,Warehouse1
24683107,2,1912,0,Warehouse1
24683108,3,107,0,Warehouse1
24683126,4,1983,0,Warehouse1
24683127,5,1266,0,Warehouse1
20826394,1,532,0,Warehouse1
20826465,2,1719,0,Warehouse1
20561196,1,718,0,Warehouse1
20561197,2,1734,0,Warehouse1
17214342,1,607,0,Warehouse1
20826395,1,2359,0,Warehouse1
20826411,1,1123,0,Warehouse1
24419921,1,2138,0,Warehouse1
22838886,1,335,0,Warehouse1
22641715,1,446,0,Warehouse1
24419876,1,1342,0,Warehouse1
22641681,1,1797,0,Warehouse1
19765553,1,895,0,Warehouse1
25942364,1,1615,0,Warehouse1
25942365,2,1432,0,Warehouse1
19983292,1,1375,0,Warehouse1
20322506,2,2382,0,Warehouse1
22641722,3,1854,0,Warehouse1
25942309,1,2088,0,Warehouse1
15728546,1,602,0,Warehouse1
18254403,2,1134,0,Warehouse1
14640637,1,2428,0,Warehouse1
21926775,1,2964,0,Warehouse1
13178008,1,2720,0,Warehouse1
14640640,1,2354,0,Warehouse1
15938748,2,905,0,Warehouse1
15728538,1,836,0,Warehouse1
15755649,2,1266,0,Warehouse1
23149382,1,1012,0,Warehouse1
23205117,2,2820,0,Warehouse1
23209351,1,2533,0,Warehouse1
17383482,1,1545,0,Warehouse1
20806879,1,1539,0,Warehouse1
20947049,1,252,0,Warehouse1
20948035,2,280,0,Warehouse1
15728539,1,2147,0,Warehouse1
29533761,1,2611,0,Warehouse1
21319959,1,1403,0,Warehouse1
26030822,1,1285,0,Warehouse1
24337731,1,2947,0,Warehouse1
24507628,1,1850,0,Warehouse1
30031910,1,2628,0,Warehouse1
25917970,1,1744,0,Warehouse1
25917971,2,2746,0,Warehouse1
25917977,3,1243,0,Warehouse1
25917978,4,176,0,Warehouse1
25917979,5,1122,0,Warehouse1
25917980,6,626,0,Warehouse1
25917981,7,2031,0,Warehouse1
25917982,8,210,0,Warehouse1
25917987,9,1228,0,Warehouse1
26179530,10,166,0,Warehouse1
29283449,1,2638,0,Warehouse1
21549615,1,1193,0,Warehouse1
21549616,2,2886,0,Warehouse1
21549617,3,1993,0,Warehouse1
21549618,4,2098,0,Warehouse1
21549619,5,723,0,Warehouse1
21549620,6,260,0,Warehouse1
25917869,1,111,0,Warehouse1
25917870,2,543,0,Warehouse1
25917871,3,2793,0,Warehouse1
25917872,4,1657,0,Warehouse1
25917873,5,2082,0,Warehouse1
25917880,6,46,0,Warehouse1
25917881,7,1937,0,Warehouse1
25917882,8,1230,0,Warehouse1
25917885,9,2658,0,Warehouse1
25917886,10,341,0,Warehouse1
25917887,11,2515,0,Warehouse1
25924973,1,2605,0,Warehouse1
25924974,2,2192,0,Warehouse1
25924976,3,2144,0,Warehouse1
25924977,4,1349,0,Warehouse1
21549592,1,1938,0,Warehouse1
21942025,2,387,0,Warehouse1
21999579,3,1526,0,Warehouse1
21999580,4,60,0,Warehouse1
21549582,1,1014,0,Warehouse1
21549583,2,557,0,Warehouse1
21549587,3,270,0,Warehouse1
21942026,4,2243,0,Warehouse1
21942027,5,723,0,Warehouse1
21999581,6,2909,0,Warehouse1
21999582,7,436,0,Warehouse1
23086822,8,610,0,Warehouse1
21570729,1,1902,0,Warehouse1
30049128,1,2535,0,Warehouse1
30049129,2,1333,0,Warehouse1
22651890,1,2162,0,Warehouse1
25937983,2,2647,0,Warehouse1
16939144,1,1877,0,Warehouse1
17406755,1,1956,0,Warehouse1
17406766,2,1304,0,Warehouse1
18057595,3,959,0,Warehouse2
27304833,4,2002,0,Warehouse2
19854110,1,242,0,Warehouse1
20739544,2,2190,0,Warehouse1
22297675,3,1660,0,Warehouse1
22297676,4,583,0,Warehouse1
22297677,5,1706,0,Warehouse1
22297678,6,1266,0,Warehouse1
22297679,7,2775,0,Warehouse1
24355627,8,850,0,Warehouse1
19854122,1,2616,0,Warehouse1
19854134,2,1714,0,Warehouse1
22678652,1,1238,0,Warehouse1
26058615,1,1142,0,Warehouse1
9097969,1,1775,0,Warehouse1
9097970,2,2252,0,Warehouse1
9100181,1,1700,0,Warehouse1
15759764,1,2045,0,Warehouse1
15759766,2,1495,0,Warehouse1
15899252,3,2423,0,Warehouse1
17698048,1,1955,0,Warehouse1
19854148,1,1932,0,Warehouse1
19854163,2,34,0,Warehouse1
20382668,3,857,0,Warehouse1
20382669,4,1467,0,Warehouse1
20752060,5,1368,0,Warehouse1
20840712,1,20,0,Warehouse1
21128642,2,1114,0,Warehouse1
22002156,3,245,0,Warehouse1
24913775,4,1976,0,Warehouse1
19672400,1,2419,0,Warehouse1
19672401,2,1204,0,Warehouse1
19672402,3,979,0,Warehouse1
19672403,4,2661,0,Warehouse1
19672404,5,395,0,Warehouse1
19672405,6,2640,0,Warehouse1
19854089,7,245,0,Warehouse1
20382642,8,2101,0,Warehouse1
20382643,9,906,0,Warehouse1
20382644,10,21,0,Warehouse1
26028972,1,2951,0,Warehouse1
18239889,1,522,0,Warehouse1
20640624,1,1735,0,Warehouse1
20640625,2,1189,0,Warehouse1
20640626,3,1665,0,Warehouse1
20640629,4,510,0,Warehouse1
20640630,5,442,0,Warehouse1
20640631,6,365,0,Warehouse1
20640649,7,2556,0,Warehouse1
20640652,8,1938,0,Warehouse1
21128641,9,2789,0,Warehouse1
2602363,1,1512,0,Warehouse1
2538321,1,870,0,Warehouse1
9522809,1,2823,0,Warehouse1
15922321,1,2369,0,Warehouse1
20845496,1,2338,0,Warehouse1
20845498,2,1191,0,Warehouse1
20845504,3,2390,0,Warehouse1
20845505,4,452,0,Warehouse1
20845507,5,1436,0,Warehouse1
20845530,6,1366,0,Warehouse1
26091759,1,2872,0,Warehouse1
26091761,2,2641,0,Warehouse1
26937376,1,2345,0,Warehouse1
6296528,1,2533,0,Warehouse1
21125384,1,36,0,Warehouse1
21130531,2,1985,0,Warehouse1
21130532,3,2779,0,Warehouse1
25917948,4,2137,0,Warehouse1
25917950,5,2892,0,Warehouse1
25917951,6,2800,0,Warehouse1
25917966,7,2089,0,Warehouse1
25917967,8,414,0,Warehouse1
25917968,9,1535,0,Warehouse1
16717369,1,279,0,Warehouse1
16717370,2,2079,0,Warehouse1
15922340,1,2046,0,Warehouse1
15922341,2,721,0,Warehouse1
15922351,3,2444,0,Warehouse1
21820622,4,1603,0,Warehouse1
21820623,5,2659,0,Warehouse1
21820624,6,2234,0,Warehouse1
22137208,7,115,0,Warehouse1
20765791,1,530,0,Warehouse1
20765794,2,2057,0,Warehouse1
9140070,1,2485,0,Warehouse1
15899230,1,2868,0,Warehouse1
15899234,2,249,0,Warehouse1
15899235,3,1876,0,Warehouse1
17698046,4,321,0,Warehouse1
14583430,1,1685,0,Warehouse1
20739502,1,242,0,Warehouse1
22002136,2,193,0,Warehouse1
23211352,3,1327,0,Warehouse1
27236728,1,2588,0,Warehouse1
22764839,1,2727,0,Warehouse1
22764840,1,1364,0,Warehouse1
21304547,1,1574,0,Warehouse1
21505414,2,2506,0,Warehouse1
20689836,1,502,0,Warehouse1
22644076,1,1466,0,Warehouse1
28515197,1,2306,0,Warehouse1
27107313,1,2591,0,Warehouse1
19560630,1,1881,0,Warehouse1
20726099,2,842,0,Warehouse1
20769568,3,2871,0,Warehouse1
21052264,4,961,0,Warehouse1
22140366,5,2889,0,Warehouse1
24408319,6,592,0,Warehouse1
24715439,7,406,0,Warehouse1
24715526,8,1493,0,Warehouse1
24715533,9,252,0,Warehouse1
24715843,10,2640,0,Warehouse1
24715994,11,1609,0,Warehouse1
24716014,12,782,0,Warehouse1
26134720,13,1697,0,Warehouse1
26195742,14,1095,0,Warehouse1
26195760,15,650,0,Warehouse1
26195764,16,1947,0,Warehouse1
26195791,17,2971,0,Warehouse1
26195840,18,971,0,Warehouse1
26195857,19,633,0,Warehouse1
26195867,20,213,0,Warehouse1
26195868,21,1165,0,Warehouse1
26195873,22,1960,0,Warehouse1
26195938,23,2802,0,Warehouse1
26429344,24,892,0,Warehouse1
26538235,25,325,0,Warehouse1
19560738,1,1377,0,Warehouse1
19560852,2,399,0,Warehouse1
19560867,3,827,0,Warehouse1
19560868,4,2843,0,Warehouse1
19560872,5,2705,0,Warehouse1
19560873,6,419,0,Warehouse1
19560875,7,1725,0,Warehouse1
19560876,8,548,0,Warehouse1
19560877,9,290,0,Warehouse1
19560878,10,2686,0,Warehouse1
19560879,11,438,0,Warehouse1
19560881,12,883,0,Warehouse1
20086085,13,93,0,Warehouse1
20657294,14,1931,0,Warehouse1
21419279,15,1135,0,Warehouse1
22003128,16,2733,0,Warehouse1
23045632,17,540,0,Warehouse1
23066884,18,1917,0,Warehouse1
24591844,19,1431,0,Warehouse1
24715316,20,1635,0,Warehouse1
24715317,21,2568,0,Warehouse1
24715320,22,378,0,Warehouse1
24715336,23,1606,0,Warehouse1
24715338,24,539,0,Warehouse1
24715355,25,1011,0,Warehouse1
24715357,26,1820,0,Warehouse1
24715361,27,1704,0,Warehouse1
24715365,28,2972,0,Warehouse1
24715401,29,1623,0,Warehouse1
24715403,30,2597,0,Warehouse1
24715532,31,298,0,Warehouse1
24715547,32,0,0,Warehouse1
24715572,33,2996,0,Warehouse1
24715588,34,1125,0,Warehouse1
24715593,35,2844,0,Warehouse1
24715848,36,2702,0,Warehouse1
24715961,37,1545,0,Warehouse1
24715963,38,1569,0,Warehouse1
24715965,39,250,0,Warehouse1
24715966,40,1836,0,Warehouse1
24716016,41,1256,0,Warehouse1
24716084,42,688,0,Warehouse1
24716089,43,2719,0,Warehouse1
24716096,44,1349,0,Warehouse1
24716102,45,2620,0,Warehouse1
24716106,46,854,0,Warehouse1
24716108,47,1083,0,Warehouse1
24716169,48,161,0,Warehouse1
24716927,49,2772,0,Warehouse1
24717112,50,2514,0,Warehouse1
24717194,51,1796,0,Warehouse1
25175961,52,2340,0,Warehouse1
26135284,53,2893,0,Warehouse1
26195763,54,403,0,Warehouse1
26195765,55,2880,0,Warehouse1
26195776,56,905,0,Warehouse1
26195802,57,2224,0,Warehouse1
26195804,58,1585,0,Warehouse1
26195816,59,878,0,Warehouse1
26195852,60,848,0,Warehouse1
26195853,61,1182,0,Warehouse1
26195870,62,1176,0,Warehouse1
26195871,63,848,0,Warehouse1
26195906,64,1178,0,Warehouse1
26195907,65,2302,0,Warehouse1
26195908,66,693,0,Warehouse1
26195917,67,880,0,Warehouse1
26195931,68,847,0,Warehouse1
26195933,69,2263,0,Warehouse1
26195943,70,1131,0,Warehouse1
26195944,71,2683,0,Warehouse1
26429346,72,520,0,Warehouse1
27187570,73,1820,0,Warehouse1
28595922,74,2403,0,Warehouse1
28595923,75,1869,0,Warehouse1
15587312,1,1440,0,Warehouse1
17734604,2,258,0,Warehouse1
19352134,3,2953,0,Warehouse1
25122108,4,1601,0,Warehouse1
19606152,1,31,0,Warehouse1
19606153,2,2468,0,Warehouse1
19606154,3,398,0,Warehouse1
19606163,4,2372,0,Warehouse1
19606164,5,2361,0,Warehouse1
19606214,6,802,0,Warehouse1
19606219,7,2252,0,Warehouse1
19606227,8,267,0,Warehouse1
19606228,9,26,0,Warehouse1
19606252,10,837,0,Warehouse1
19606254,11,1145,0,Warehouse1
19606255,12,875,0,Warehouse1
19606260,13,2020,0,Warehouse1
20739188,14,2321,0,Warehouse1
20911960,15,1723,0,Warehouse1
21052262,16,199,0,Warehouse1
21932715,17,1624,0,Warehouse1
21932717,18,2417,0,Warehouse1
21932719,19,1079,0,Warehouse1
21978368,20,2471,0,Warehouse1
21978370,21,1680,0,Warehouse1
21978371,22,2211,0,Warehouse1
21978372,23,2155,0,Warehouse1
21995314,24,2200,0,Warehouse1
22145880,25,1031,0,Warehouse1
24378402,26,1559,0,Warehouse1
24378437,27,1070,0,Warehouse1
24378465,28,2472,0,Warehouse1
24547706,29,1817,0,Warehouse1
24547707,30,1023,0,Warehouse1
24716171,31,1073,0,Warehouse1
24716917,32,1849,0,Warehouse1
24716918,33,491,0,Warehouse1
24716920,34,1472,0,Warehouse1
24716921,35,1221,0,Warehouse1
