sku,variant_id,price,price_type
26427900,1,2630,DEFAULT
29885591,1,2739,DEFAULT
29911080,1,1438,DEFAULT
24403939,1,432,DEFAULT
27128227,1,355,DEFAULT
29804739,1,470,DEFAULT
29804808,1,1094,DEFAULT
29374842,1,627,DEFAULT
29804957,1,1176,DEFAULT
29374843,1,431,DEFAULT
25885453,1,933,DEFAULT
29406823,1,2867,DEFAULT
28552654,1,145,DEFAULT
29891383,1,814,DEFAULT
24801337,1,1536,DEFAULT
23061675,1,338,DEFAULT
29891842,1,195,DEFAULT
13710816,1,277,DEFAULT
24673744,1,1307,DEFAULT
29891041,1,182,DEFAULT
29529631,1,2081,DEFAULT
29761404,2,1575,DEFAULT
27107296,1,25,DEFAULT
23087059,1,1354,DEFAULT
30648859,1,489,DEFAULT
24788120,1,2058,DEFAULT
27003893,1,1837,DEFAULT
27207215,2,1225,DEFAULT
26192836,1,2297,DEFAULT
24235707,1,2947,DEFAULT
27290499,1,204,DEFAULT
22196533,1,1928,DEFAULT
19611864,1,2687,DEFAULT
29843537,1,1642,DEFAULT
26175504,1,2360,DEFAULT
26175505,1,42,DEFAULT
29406183,1,2113,DEFAULT
29406182,1,454,DEFAULT
29406184,2,670,DEFAULT
30620196,1,289,DEFAULT
26552089,1,885,DEFAULT
25923236,1,1603,DEFAULT
21736789,1,157,DEFAULT
24751053,1,1031,DEFAULT
23339155,1,2418,DEFAULT
26346564,1,1693,DEFAULT
26408542,2,1369,DEFAULT
26408559,1,2614,DEFAULT
29544908,1,1971,DEFAULT
24675870,1,2677,DEFAULT
29847624,1,2796,DEFAULT
26534020,1,1053,DEFAULT
29579058,1,1252,DEFAULT
29579061,2,2822,DEFAULT
29579056,1,2408,DEFAULT
24602396,1,1742,DEFAULT
29801571,1,1880,DEFAULT
29731567,1,1245,DEFAULT
19682158,1,2968,DEFAULT
19682159,2,1178,DEFAULT
19763031,3,1193,DEFAULT
24666697,1,172,DEFAULT
30014805,1,106,DEFAULT
30014807,2,880,DEFAULT
29901936,1,1814,DEFAULT
12295890,1,2467,DEFAULT
24495842,1,923,DEFAULT
24495843,2,927,DEFAULT
26512883,3,2921,DEFAULT
26512884,4,1593,DEFAULT
21047360,1,1217,DEFAULT
29727910,1,807,DEFAULT
28535676,1,196,DEFAULT
24495852,1,1374,DEFAULT
24495853,2,1838,DEFAULT
22078075,1,2614,DEFAULT
29805780,1,68,DEFAULT
29634940,1,208,DEFAULT
29634947,2,2228,DEFAULT
21751902,1,2039,DEFAULT
25905585,1,2885,DEFAULT
25904598,1,2025,DEFAULT
30688700,1,93,DEFAULT
30021637,1,1138,DEFAULT
18146996,1,1847,DEFAULT
25904691,1,2501,DEFAULT
26224361,1,2880,DEFAULT
29393146,1,728,DEFAULT
22766226,1,747,DEFAULT
26141878,1,2848,DEFAULT
26933260,1,1906,DEFAULT
12255434,1,1940,DEFAULT
17365820,1,20,DEFAULT
18662566,1,2013,DEFAULT
25910847,1,2821,DEFAULT
25955264,1,1835,DEFAULT
30150732,1,1480,DEFAULT
17681791,1,744,DEFAULT
828188,1,2763,DEFAULT
25904159,1,1402,DEFAULT
25904123,1,2337,DEFAULT
19692589,1,980,DEFAULT
24788780,1,2209,DEFAULT
15619960,1,2533,DEFAULT
29851280,1,2354,DEFAULT
6350138,1,1048,DEFAULT
15721464,1,2148,DEFAULT
29545800,1,2423,DEFAULT
29525342,1,1256,DEFAULT
29525343,1,1377,DEFAULT
29518547,1,1463,DEFAULT
29518551,1,1141,DEFAULT
29565391,1,402,DEFAULT
28373128,1,1556,DEFAULT
29565389,1,2279,DEFAULT
26289661,1,2249,DEFAULT
28586825,1,1057,DEFAULT
30375360,1,2160,DEFAULT
25988329,1,2977,DEFAULT
25893779,1,1805,DEFAULT
29414094,1,2008,DEFAULT
29743301,1,1884,DEFAULT
27262160,1,745,DEFAULT
30274741,1,2028,DEFAULT
26072016,1,898,DEFAULT
22626962,1,566,DEFAULT
24980927,1,864,DEFAULT
29385583,1,2378,DEFAULT
28547942,1,1310,DEFAULT
26981568,1,627,DEFAULT
26564922,1,780,DEFAULT
29536449,1,648,DEFAULT
30345097,1,1608,DEFAULT
21811723,1,2990,DEFAULT
26974234,1,182,DEFAULT
24692598,1,963,DEFAULT
20849175,1,1038,DEFAULT
21416382,2,2330,DEFAULT
24401697,3,386,DEFAULT
25558467,4,2295,DEFAULT
25905066,5,708,DEFAULT
26058615,6,1849,DEFAULT
26231597,7,437,DEFAULT
26512671,8,1110,DEFAULT
27104941,9,405,DEFAULT
27123315,10,2716,DEFAULT
27277017,11,360,DEFAULT
28463875,12,1463,DEFAULT
28467014,13,1876,DEFAULT
28548759,14,338,DEFAULT
29376694,15,268,DEFAULT
29406168,16,885,DEFAULT
29545166,17,2222,DEFAULT
29750512,18,1014,DEFAULT
29755564,19,2914,DEFAULT
29853938,20,120,DEFAULT
29885472,21,1581,DEFAULT
29900747,22,778,DEFAULT
30579515,23,2499,DEFAULT
30783507,24,2891,DEFAULT
