sku,Prozessor,Speicher,Design,Speichermedium,Grafik,short_description,long_description
26427900,"3,2 GHz",4 GB,Schwarz,500 GB,Intel HD Graphics,"Acer Extensa M2610, G3250, 64-bit, Festplatte, Intel Pentium G, DVD Super Multi, Schwarz","Acer M2610, Extensa. Prozessor-Taktfrequenz: 3,2 GHz, Prozessorfamilie: Intel Pentium G, Prozessor: G3250. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1100 MHz"
29885591,"3,4 GHz",16 GB,Schwarz,16 GB,Intel HD Graphics 530,"Acer Veriton M6640G, i7-6700, Turm, 64-bit, Hybrid-HDD, Intel Core i7-6xxx, DVD Super Multi","Acer M6640G, Veriton. Prozessor-Taktfrequenz: 3,4 GHz, Prozessorfamilie: Intel Core i7-6xxx, Prozessor: i7-6700. RAM-Speicher: 16 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Hybrid-HDD, Hybrid-Festplatte (H-HDD) Typ: SSD. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 530, On-Board Grafikadapter unterstützte Ausgänge: DVI, Embedded DisplayPort (eDP), DisplayPort, HDMI, On-Board Grafikadapter Basisfrequenz: 350 MHz"
29911080,"3,6 GHz",8 GB,Turm,16 GB,Intel HD Graphics 4600,"ASUS M M32AD-BE009T, i7-4790, Turm, Festplatte, Intel Core i7-4xxx, Schwarz, Grau, Intel HD Graphics 4600","ASUS M32AD-BE009T, M. Prozessor-Taktfrequenz: 3,6 GHz, Prozessorfamilie: Intel Core i7-4xxx, Prozessor: i7-4790. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplatten-Schnittstelle: Serial ATA III. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1200 MHz. Vorinstalliertes Betriebssystem: Windows 10 Home"
24403939,"3,3 GHz",8 GB,Schwarz,500 GB,Intel HD Graphics 4600,"DELL OptiPlex 3020, i5-4590, SFF, 64-bit, Festplatte, Intel Core i5-4xxx, DVD±RW","DELL 3020, OptiPlex. Prozessor-Taktfrequenz: 3,3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD±RW. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
27128227,"3,3 GHz",8 GB,SFF,500 GB,Intel HD Graphics 4600,"DELL OptiPlex 3020, i5-4590, SFF, 64-bit, Festplatte, Intel Core i5-4xxx, DVD±RW","DELL 3020, OptiPlex. Prozessor-Taktfrequenz: 3,3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD±RW. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
29374842,"3,5 GHz",16 GB,Schwarz,256 GB,NVIDIA Quadro K2200,"Fujitsu CELSIUS M740, E5-1620V3, 64-bit, SSD, 10 - 35 °C, 5 - 85%, Intel Xeon E5 v3","Fujitsu M740, CELSIUS. Prozessor-Taktfrequenz: 3,5 GHz, Prozessorfamilie: Intel Xeon E5 v3, Prozessor: E5-1620V3. RAM-Speicher: 16 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 256 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi. Dediziertes Grafikmodell: NVIDIA Quadro K2200, Separater Grafik-Adapterspeicher: 4096 GB"
29374843,"2,4 GHz",16 GB,Desktop,256 GB,,"Fujitsu CELSIUS R940, E5-2630V3, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu R940, CELSIUS. Prozessor-Taktfrequenz: 2,4 GHz, Prozessorfamilie: Intel Xeon E5 v3, Prozessor: E5-2630V3. RAM-Speicher: 16 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 512 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi. Vorinstalliertes Betriebssystem: Windows 7 Professional, Betriebssystem Architektur: 64-bit, Recovery-Betriebssystem: Windows 8.1 Pro"
29804739,"3,3 GHz",4 GB,Desktop,500 GB,Intel HD Graphics 4600,"Fujitsu ESPRIMO E420, i5-4590, Desktop, 64-bit, Festplatte, 10 - 35 °C, 5 - 85%","Fujitsu E420, ESPRIMO. Prozessor-Taktfrequenz: 3,3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
29804808,"3,5 GHz",8 GB,Desktop,256 GB,Intel HD Graphics 4600,"Fujitsu ESPRIMO E920, i5-4690, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu E920, ESPRIMO. Prozessor-Taktfrequenz: 3,5 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4690. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1200 MHz"
29804957,"3,5 GHz",8 GB,Desktop,8 GB,Intel HD Graphics 4600,"Fujitsu ESPRIMO E920, i5-4690, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu E920, ESPRIMO. Prozessor-Taktfrequenz: 3,5 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4690. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1200 MHz"
