sku,Bildschirmgröße,Speicher,Prozessor,Kamera,GPS,Gewicht,short_description,long_description
29843537,4.5'',8 GB,"Qualcomm Snapdragon 1,1 GHz",4 MP,true,140 g,"Acer Liquid 330, Dual SIM, Android, EDGE, GPRS, HSPA, LTE, Klappgehäuse","Acer 330, Liquid. Bildschirmdiagonale: 11,4 cm (4.5""), Bildschirmauflösung: 854 x 480 Pixel, Touch-Technologie: Multi-touch. Prozessor-Taktfrequenz: 1,1 GHz, Prozessorfamilie: Qualcomm Snapdragon, Prozessor: MSM 8909. Interne Speicherkapazität: 8 GB, Internes RAM: 1024 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 5 MP, Auflösung zweite Kamera: 5 MP. Sim Card Steckplätze: Dual SIM, 2G-Standards: EDGE, GPRS, 3G-Standards: HSPAAcer Liquid 330 8GB 4G Schwarz Smartphones (HM.HPUEE.001)"
26175504,5'',8 GB,"MediaTek 1,5 GHz",13 MP,true,110 g,"Acer Liquid Jade Z, Dual SIM, Android, NanoSIM, EDGE, GPRS, GSM, HSPA+, WCDMA, LTE","Acer Jade Z, Liquid. Bildschirmdiagonale: 12,7 cm (5""), Bildschirmauflösung: 1280 x 720 Pixel, Display-Typ: IPS. Prozessor-Taktfrequenz: 1,5 GHz, Prozessorfamilie: MediaTek, Prozessor: MT6732. Interne Speicherkapazität: 8 GB, Internes RAM: 1024 MB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC. Hauptkamera-Auflösung: 13 MP, Flash-Typ: LED, Auflösung zweite Kamera: 5 MP. Sim Card Steckplätze: Dual SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: EDGE, GPRS, GSM"
26175505,5'',8 GB,"MediaTek 1,5 GHz",13 MP,false,110 g,"Acer Liquid Jade Z White, Dual SIM, Android, NanoSIM, EDGE, GPRS, HSDPA, HSPA+, HSUPA, LTE","Acer Jade Z White, Liquid. Bildschirmdiagonale: 12,7 cm (5""), Bildschirmauflösung: 1280 x 720 Pixel, Display-Typ: IPS. Prozessor-Taktfrequenz: 1,5 GHz, Prozessorfamilie: MediaTek, Prozessor: MT6732L. Interne Speicherkapazität: 8 GB, Internes RAM: 1024 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 13 MP, Flash-Typ: LED, Auflösung zweite Kamera: 5 MP. Sim Card Steckplätze: Dual SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: EDGE, GPRS"
29406183,5'',8 GB,"MediaTek 1,3 GHz",8 MP,true,145 g,"Acer Liquid Z530, Dual SIM, Android, GSM, Android 5.1 Lollipop, Balken, MediaTek","Acer Z530, Liquid. Bildschirmdiagonale: 12,7 cm (5""), Bildschirmauflösung: 1280 x 720 Pixel. Prozessor-Taktfrequenz: 1,3 GHz, Prozessorfamilie: MediaTek, Prozessor: MT6735. Interne Speicherkapazität: 8 GB, Internes RAM: 1024 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 8 MP, Auflösung zweite Kamera: 8 MP. Sim Card Steckplätze: Dual SIM, 2G-Standards: GSM, Bluetooth-Version: 4.0"
29406184,5.5'',16 GB,"MediaTek 1,3 GHz",8 MP,true,165 g,"Acer Liquid Z630, Dual SIM, Android, MicroSIM, GSM, HSPA, LTE","Acer Z630, Liquid. Bildschirmdiagonale: 14 cm (5.5""), Bildschirmauflösung: 720 x 1280 Pixel, Display-Typ: IPS. Prozessor-Taktfrequenz: 1,3 GHz, Prozessorfamilie: MediaTek, Prozessor: MT6735. Interne Speicherkapazität: 16 GB, Internes RAM: 2048 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 8 MP, Flash-Typ: LED, Auflösung zweite Kamera: 8 MP. Sim Card Steckplätze: Dual SIM, SIM-Kartentyp: MicroSIM, 2G-Standards: GSM"
29406182,5.5'',16 GB,"MediaTek 1,3 GHz",8 MP,false,165 g,"Acer Liquid Z630, Dual SIM, Android, MicroSIM, EDGE, GPRS, GSM, HSPA+, LTE","Acer Z630, Liquid. Bildschirmdiagonale: 14 cm (5.5""), Bildschirmauflösung: 720 x 1280 Pixel, Display-Typ: IPS. Prozessor-Taktfrequenz: 1,3 GHz, Prozessorfamilie: MediaTek, Prozessor: MT6735. Interne Speicherkapazität: 16 GB, Internes RAM: 2048 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 8 MP, Flash-Typ: LED, Auflösung zweite Kamera: 8 MP. Sim Card Steckplätze: Dual SIM, SIM-Kartentyp: MicroSIM, 2G-Standards: EDGE, GPRS, GSM"
30620196,5.5'',32 GB,"MediaTek 1,3 GHz",8 MP,true,165 g,"Acer Liquid Z630S, Dual SIM, Android, MicroSIM, EDGE, GPRS, GSM, HSPA+, WCDMA, LTE","Acer Z630S, Liquid. Bildschirmdiagonale: 14 cm (5.5""), Bildschirmauflösung: 1280 x 720 Pixel, Display-Typ: IPS. Prozessor-Taktfrequenz: 1,3 GHz, Prozessorfamilie: MediaTek, Prozessor: MT6735. Interne Speicherkapazität: 32 GB, Internes RAM: 3072 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 8 MP, Flash-Typ: LED, Auflösung zweite Kamera: 8 MP. Sim Card Steckplätze: Dual SIM, SIM-Kartentyp: MicroSIM, 2G-Standards: EDGE, GPRS, GSM"
23339155,4.5'',4 GB,"Qualcomm Snapdragon 1,2 GHz",5 MP,true,139 g,"Samsung SM-G355H Galaxy, 11,43 cm (4.5""), 800 x 480 Pixel, TFT, 1,2 GHz, 768 MB, 4 GB","Samsung SM-G355H, Galaxy. Bildschirmdiagonale: 11,43 cm (4.5""), Bildschirmauflösung: 800 x 480 Pixel, Display-Typ: TFT. Prozessor Taktfrequenz: 1,2 GHz. Internes RAM: 768 MB, Interne Speicherkapazität: 4 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC. Hauptkamera-Auflösung: 5 MP, Videoaufnahme-Modi: 480p, Maximale Bildfrequenz: 30 fps. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: MicroSIM, 2G Standard: GSM"
25923236,5'',8 GB,"Qualcomm Snapdragon 1,2 GHz",5 MP,false,160 g,"Samsung GT-I9060 Galaxy, 12,7 cm (5""), 480 x 800 Pixel, TFT, 1,2 GHz, 1024 MB, 8 GB","Samsung GT-I9060, Galaxy. Bildschirmdiagonale: 12,7 cm (5""), Bildschirmauflösung: 480 x 800 Pixel, Display-Typ: TFT. Prozessor Taktfrequenz: 1,2 GHz. Internes RAM: 1024 MB, Interne Speicherkapazität: 8 GB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 5 MP, Auflösung zweite Kamera: 2 MP. Sim Card Steckplätze: Single SIM, 2G Standard: GSM, 3G Standard: HSPA+, UMTS"
24675870,5.7'',32 GB,"Qualcomm Snapdragon 2,7 GHz",16 MP,true,176 g,"Samsung SM-N910F Galaxy, 14,48 cm (5.7""), 2560 x 1440 Pixel, SAMOLED, 2,7 GHz, 3072 MB, 32 GB","Samsung SM-N910F, Galaxy. Bildschirmdiagonale: 14,48 cm (5.7""), Bildschirmauflösung: 2560 x 1440 Pixel, Display-Typ: SAMOLED. Prozessor Taktfrequenz: 2,7 GHz. Internes RAM: 3072 MB, Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 16 MP, Videoaufnahme-Modi: 1080p, 2160p, 720p, Maximale Bildfrequenz: 60 fps. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: MicroSIM, 2G Standard: EDGE, GPRS, GSM"
