sku,Prozessor,Speicher,Bildschirm,Speichermedien,Batterie,short_description,long_description
29545800,"1,3 GHz MT8127",1 GB,1024 x 600 pixels,16 GB,2780 mAh LiPo,"Acer Iconia One 7 B1-770, Tablet Full-Size, Tablet, Android, Weiß, Lithium Polymer (LiPo), 802.11b, 802.11g, 802.11n","Acer One 7 B1-770, Iconia. Prozessor-Taktfrequenz: 1,3 GHz, Prozessorfamilie: Mediatek, Prozessor: MT8127. RAM-Speicher: 1 GB, Interner Speichertyp: DDR3L-SDRAM. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, Speichermedien: Flash. Bildschirmdiagonale: 17,8 cm (7""), Bildschirmauflösung: 1024 x 600 Pixel, Touch-Technologie: Multi-touch. Auflösung Rückkamera: 5 MP, Auflösung Frontkamera: 0,3 MP"
29525342,Intel Atom x3-C3200 Quad-Core,1 GB,1024 x 600 pixel,16 GB,13 Wh (LiPo),"ASUS ZenPad Z170C-1B012A, Mini-Tablet, Tablet, Android, Weiß, Lithium Polymer (LiPo), 802.11b, 802.11g, 802.11n","ASUS Z170C-1B012A, ZenPad. Prozessorfamilie: Intel Atom, Prozessor: x3-C3200. RAM-Speicher: 1 GB. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 17,8 cm (7""), Bildschirmauflösung: 1024 x 600 Pixel, Bildschirmtechnologie: IPS. Auflösung Rückkamera: 2 MP, Auflösung Frontkamera: 0,3 MP"
29525343,Intel Atom x3-C3200 Quad-Core,1 GB,1024 x 600 pixel,16 GB,13 Wh (LiPo),"ASUS ZenPad Z170C-1L019A, Mini-Tablet, Tablet, Android, Metallisch, Lithium Polymer (LiPo), 802.11b, 802.11g, 802.11n","ASUS Z170C-1L019A, ZenPad. Prozessorfamilie: Intel Atom, Prozessor: x3-C3200. RAM-Speicher: 1 GB. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 17,8 cm (7""), Bildschirmauflösung: 1024 x 600 Pixel, Bildschirmtechnologie: IPS. Auflösung Rückkamera: 2 MP, Auflösung Frontkamera: 0,3 MP"
29518547,Intel Atom x3-C3200,2 GB,1280 x 800 pixel,16 GB,4890 mAh,"ASUS ZenPad Z300C-1A069A, Tablet Full-Size, Tablet, Android, Schwarz, Polymer, 802.11b, 802.11g, 802.11n","ASUS Z300C-1A069A, ZenPad. Prozessorfamilie: Intel Atom, Prozessor: x3-C3200. RAM-Speicher: 2 GB, Interner Speichertyp: LPDDR3-SDRAM. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), SDXC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 1280 x 800 Pixel, Bildschirmtechnologie: IPS. Grafikkarte: Mali 450 MP4"
29518551,Intel Atom x3-C3200,2 GB,1280 x 800 pixel,16 GB,4890 mAh,"ASUS ZenPad Z300C-1B053A, Tablet Full-Size, Tablet, Android, Weiß, 802.11b, 802.11g, 802.11n, 100 - 240 V","ASUS Z300C-1B053A, ZenPad. Prozessorfamilie: Intel Atom, Prozessor: x3-C3200. RAM-Speicher: 2 GB, Interner Speichertyp: LPDDR3-SDRAM. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), SDXC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 1280 x 800 Pixel, Bildschirmtechnologie: IPS. Grafikkarte: Mali 450 MP4"
29565391,Intel Atom x3-C3200,2 GB,1280 x 800 pixel,16 GB,15.2 Wh (LiPo),"ASUS ZenPad Z380C-1L051A, Mini-Tablet, Tablet, Android, Metallisch, Lithium Polymer (LiPo), 802.11b, 802.11g, 802.11n","ASUS Z380C-1L051A, ZenPad. Prozessorfamilie: Intel Atom, Prozessor: x3-C3200. RAM-Speicher: 2 GB. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDXC, Max. Speicherkartengröße: 64 GB. Bildschirmdiagonale: 20,3 cm (8""), Bildschirmauflösung: 1280 x 800 Pixel, Bildschirmtechnologie: IPS. Auflösung Rückkamera: 5 MP, Auflösung Frontkamera: 2 MP"
28373128,Intel Atom Z3560 Quad-Core,2 GB,2048 x 1536 pixel,32 GB,15.2 Wh (LiPo),"ASUS ZenPad Z580CA-1A032A, Mini-Tablet, Tablet, Android, Schwarz, Lithium Polymer (LiPo), 802.11a, 802.11ac, 802.11b, 802.11g, 802.11n","ASUS Z580CA-1A032A, ZenPad. Prozessorfamilie: Intel Atom, Prozessor: Z3560, Prozessor Boost-Taktung: 1,83 GHz. RAM-Speicher: 2 GB. Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDXC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 20,3 cm (8""), Bildschirmauflösung: 2048 x 1536 Pixel, Bildschirmtechnologie: IPS. Grafikkarte-Familie: Intel"
29565389,Intel Atom Z3560 Quad-Core,2 GB,2048 x 1536 pixel,32 GB,15.2 Wh (LiPo),"ASUS ZenPad Z580CA-1B024A, Mini-Tablet, Tablet, Android, Weiß, Lithium Polymer (LiPo), 802.11a, 802.11ac, 802.11b, 802.11g, 802.11n","ASUS Z580CA-1B024A, ZenPad. Prozessorfamilie: Intel Atom, Prozessor: Z3560, Prozessor-Cache: 2 MB. RAM-Speicher: 2 GB. Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDXC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 20,3 cm (8""), Bildschirmauflösung: 2048 x 1536 Pixel, Bildschirmtechnologie: IPS. Auflösung Rückkamera: 8 MP, Auflösung Frontkamera: 5 MP"
30375360,"Intel Core m5-6Y54 (1.1GHz, 4MB)",8 GB,1920 x 1280 pixel,128 GB,40 Wh (LiPo),"Intel Core m5-6Y54 (1.1GHz, 4MB), 30.48 cm (12 "") FHD UWVA eDP ultra-slim LED touch (1920 x 1280), 8GB LPDDR3 SDRAM, 128GB SATA TLC SSD, Intel HD Graphics 515, 802.11a/b/g/n/ac, Bluetooth 4.2, 2 MP / 5 MP webcam, Windows 10 Pro 64","HP Elite x2 1012 G1. Prozessor-Taktfrequenz: 1,1 GHz, Prozessorfamilie: Intel Core M, Prozessor: m5-6Y54. RAM-Speicher: 8 GB, Interner Speichertyp: LPDDR3-SDRAM, RAM-Speicher maximal: 8 GB. Interne Speicherkapazität: 128 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Speichermedien: SSD. Bildschirmdiagonale: 30,5 cm (12""), Bildschirmauflösung: 1920 x 1280 Pixel, Touch-Technologie: Multi-touch. Grafikkarte-Familie: Intel, Grafikkarte: HD Graphics 515"
26289661,ntel Atom Z3795,4 GB,1920 x 1200 pixel,128 GB,30 Wh,HP ElitePad 1000 G2 Healthcare Tablet,"HP 1000 G2, ElitePad. Prozessor-Taktfrequenz: 1,59 GHz, Prozessorfamilie: Intel Atom, Prozessor: Z3795. RAM-Speicher: 4 GB, Interner Speichertyp: LPDDR3-SDRAM, Speichertaktfrequenz: 1067 MHz. Interne Speicherkapazität: 128 GB, Speichermedien: SSD. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 1920 x 1200 Pixel, Touch-Technologie: Multi-touch. Grafikkarte-Familie: Intel, Grafikkarte: HD Graphics"
25988329,Intel Atom Z3735G,1 GB,1280 x 800 pixel,16 GB,28.5 Wh,"ntel Atom Z3735G, 1GB DDR3L, 16GB eMMC, 25.654 cm (10.1 "") IPS (1280 x 800), Intel HD, Dual-cam, HP hs3110 HSPA+ Mobile Broadband/GPS, Wi-Fi 802.11a/b/g/n, Bluetooth 4.0 LE, NFC, micro-USB 2.0, micro-HDMI, microSD, Android 4.4 KitKat","HP Pro Slate 10 EE G1. Prozessor-Taktfrequenz: 1,33 GHz, Prozessorfamilie: Intel Atom, Prozessor: Z3735G. RAM-Speicher: 1 GB, Interner Speichertyp: DDR3L-SDRAM. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, Max. Speicherkartengröße: 32 GB. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 1280 x 800 Pixel, Bildschirmtechnologie: IPS. Grafikkarte-Familie: Intel, Grafikkarte: HD Graphics"
25893779,Qualcomm Snapdragon 800 (2.3GHz),2 GB,2048 x 1536 pixel,32 BG,21 Wh (LiPo),"Qualcomm Snapdragon 800 (2.3GHz), 19.9644 cm (7.86 "") FHD QXGA touch (2048 x 1536), 2GB LPDDR3 SDRAM, 32GB eMMC SSD, 802.11a/b/g/n/ac, Bluetooth 4.0 + LE, 2 MP / 8 MP, WWAN 4G, Android 4.4 (KitKat)","HP Pro Slate 8. Prozessor-Taktfrequenz: 2,3 GHz, Prozessorfamilie: Qualcomm Snapdragon. RAM-Speicher: 2 GB, Interner Speichertyp: LPDDR3-SDRAM, RAM-Speicher maximal: 2 GB. Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 32 GB. Bildschirmdiagonale: 20 cm (7.86""), Bildschirmauflösung: 2048 x 1536 Pixel, Touch-Technologie: Multi-touch. Auflösung Rückkamera: 8 MP, Auflösung Frontkamera: 2 MP"
28586825,"Intel Atom x5-Z8500 (1.44GHz, 2MB)",4 GB,2048 x 1536 pixel,128 GB,21 Wh (LiPo),"HP Pro Tablet 608 G1, Tablet, Windows 10 Pro, 64-bit, Grau, Lithium Polymer (LiPo), 802.11a, 802.11ac, 802.11b, 802.11g","HP 608 G1, Pro Tablet. Prozessor-Taktfrequenz: 1,44 GHz, Prozessorfamilie: Intel Atom, Prozessor-Cache: 2 MB. RAM-Speicher: 4 GB, Interner Speichertyp: LPDDR3-SDRAM, Speichertaktfrequenz: 1600 MHz. Interne Speicherkapazität: 128 GB, Kompatible Speicherkarten: MicroSDXC, Max. Speicherkartengröße: 2000 GB. Bildschirmdiagonale: 20,1 cm (7.9""), Bildschirmauflösung: 2048 x 1536 Pixel, Touch-Technologie: Multi-touch. Grafikkarte-Familie: Intel, Grafikkarte: HD Graphics"
26072016,Mediatek MT8127 (1.3 GHz),1 GB,1024 x 600 pixel,8 GB,3450 mAh (Li-Ion),"17.78 cm (7 "") 1024x600 Multi-touch, Quad-Core 1.3GHz, 1GB RAM, 8GB eMMC, 0.3MP, 802.11b/g/n, Bluetooth 4.0, Android 4.4, Swarz","Lenovo TAB 2 A7-10F, IdeaTab. Prozessor-Taktfrequenz: 1,3 GHz, Prozessorfamilie: Mediatek, Prozessor: MT8127. RAM-Speicher: 1 GB, Interner Speichertyp: LPDDR2-SDRAM. Interne Speicherkapazität: 8 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Speichermedien: Flash. Bildschirmdiagonale: 17,8 cm (7""), Bildschirmauflösung: 1024 x 600 Pixel, Bildschirmtechnologie: IPS. Grafikkarte: Mali 400 MP2"
30274741,"ntel Atom Z3735F (2M Cache, up to 1.83 GHz)",2 GB,1280 x 800 pixel,64 GB,6800 mAh (LiPo),"ntel Atom Z3735F (2M Cache, up to 1.83 GHz), 2GB LPDDR3 RAM, 64GB eMMC, 25.654 cm (10.1 "") WXGA WLED (1280x800) Touch, Intel HD Graphics, 802.11b/g/n, Bluetooth 4.0, 2MP Webcam, Windows 10 Pro 32-bit","Lenovo Miix 300-10IBY, Miix. Prozessor-Taktfrequenz: 1,33 GHz, Prozessorfamilie: Intel Atom, Prozessor: Z3735F. RAM-Speicher: 2 GB, Interner Speichertyp: LPDDR3-SDRAM. Interne Speicherkapazität: 64 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, Max. Speicherkartengröße: 64 GB. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 1280 x 800 Pixel, Bildschirmtechnologie: IPS. Grafikkarte-Familie: Intel, Grafikkarte: HD Graphics"
