sku,Image quality,Lens system,Focus,Screen,Video,short_description,long_description
17365820,CMOS,10 x,Auto/Manual,"8,9 cm (3.5'')",Handheld camcorder,"Canon LEGRIA HF G25, CMOS, Handheld camcorder, 1/2000, 25.4 / 3 mm (1 / 3""), 4.25 - 42.5 mm, Memory card","Canon HF G25, LEGRIA. Sensor type: CMOS, Total megapixels: 2.37 MP, Optical sensor size: 25.4 / 3 mm (1 / 3""). Optical zoom: 10x, Digital zoom: 200x, Focal length range (f-f): 4.25 - 42.5 mm. Internal storage capacity: 32 GB, Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC. Focus adjustment: Auto/Manual, Closest focusing distance: 0.1 m. White balance: Auto, Cloudy, Daylight, Fluorescent, Fluorescent H, Shade, Tungsten"
18662566,CMOS,20 x,Auto/Manual,"8,9 cm (3.5'')",Handheld camcorder,"Canon HF G30 LEGRIA, CMOS, 3.09 MP, 1/0.112 mm (1/2.84""), 20x, 400x, 3.67 - 73.4 mm","Canon HF G30, LEGRIA. Sensor type: CMOS, Total megapixels: 3.09 MP, Optical sensor size: 1/0.112 mm (1/2.84""). Optical zoom: 20x, Digital zoom: 400x, Focal length range (f-f): 3.67 - 73.4 mm. Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC, Maximum memory card size: 64 GB. Focus adjustment: Auto/Manual. Light exposure modes: Manual, Scene modes: Beach, Fireworks, Night, Portrait, Snow, Sports, Spotlight, Sunset"
25910847,CMOS,32 x,Auto/Manual,"7,6 cm (3'')",Handheld camcorder,"Canon LEGRIA HF R606, CMOS, Handheld camcorder, 1/2000 - 1/2, 25.4 / 4.85 mm (1 / 4.85""), 2.8 - 89.6 mm, Memory card","Canon HF R606, LEGRIA. Sensor type: CMOS, Total megapixels: 3.28 MP, Optical sensor size: 25.4 / 4.85 mm (1 / 4.85""). Optical zoom: 32x, Digital zoom: 1140x, Focal length range (f-f): 2.8 - 89.6 mm. Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC. Focus adjustment: Auto/Manual. Scene modes: Beach, Fireworks, Night, Portrait, Sunset"
25955264,CCD,32 x,Auto/Manual,"7,6 cm (3'')",Handheld camcorder,"Canon LEGRIA HF R66, CCD, Handheld camcorder, 0.0005 - 0.5, 25.4 / 4.85 mm (1 / 4.85""), 2.8 - 89.6 mm, Memory card","Canon HF R66, LEGRIA. Sensor type: CCD, Total megapixels: 3.28 MP, Optical sensor size: 25.4 / 4.85 mm (1 / 4.85""). Optical zoom: 32x, Digital zoom: 1140x, Focal length range (f-f): 2.8 - 89.6 mm. Internal storage capacity: 8 GB, Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC. Focus adjustment: Auto/Manual. Light exposure modes: Auto, Scene modes: Beach, Fireworks, Night, Portrait, Spotlight, Sunset"
30150732,CMOS,,Auto/Manual,,"1280 x 720, 1920 x 1080 Pixel","Ricoh Theta S, CMOS, Handheld camcorder, 25.4 / 2.3 mm (1 / 2.3""), Auto, Cloudy, Daylight, Fluorescent, Incandescent, Lamp, Outdoor, Shade, Full HD, 5376 x 2688 pixels","Ricoh Theta S. Sensor type: CMOS, Total megapixels: 14 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""). Internal storage capacity: 8 GB. ISO sensitivity: 100, 125, 160, 200, 250, 320, 400, 640, 800, 1000, 1250, 1600, Light exposure modes: Manual, Light exposure correction: ± 2EV (1/3EV step). White balance: Auto, Cloudy, Daylight, Fluorescent, Incandescent, Lamp, Outdoor, Shade. Shutter speed (video): 1/8000 - 1/30, Shutter speed (photo): 1/6400 - 1/8"
17681791,CMOS,52 x,Auto/Manual,"6,9 cm (2.7'')",1280 x 720 Pixel,"Samsung HMX-F90WP, CMOS, 5 MP, 1/0.126 mm (1/3.2""), 52x, 130x, 2.1 - 109.2 mm","Samsung HMX-F90WP. Sensor type: CMOS, Total megapixels: 5 MP, Optical sensor size: 1/0.126 mm (1/3.2""). Optical zoom: 52x, Digital zoom: 130x, Focal length range (f-f): 2.1 - 109.2 mm. Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC. Focus adjustment: Auto/Manual. White balance: Auto"
25904159,CMOS,10 x,Auto/Manual,"7,6 cm (3'')",Full HD,"Sony FDR-AX33, CMOS, Handheld camcorder, 1/6 - 1/10000, 25.4 / 2.3 mm (1 / 2.3""), 3.8 - 38 mm, Memory card","Sony FDR-AX33. Sensor type: CMOS, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""), Effective megapixels (image): 10.3 MP. Optical zoom: 10x, Digital zoom: 120x, Focal length range (f-f): 3.8 - 38 mm. Camcorder media type: Memory card, Compatible memory cards: MS PRO Duo, MS Pro-HG Duo, MS XC-HG Duo, SD, SDHC, SDXC. Focus adjustment: Auto/Manual. White balance: Auto, Indoor, Outdoor"
30793788,CMOS,20 x,Auto/Manual,"7,6 cm (3'')",4K Ultra HD,"Sony FDR-AX53, Electronic, CMOS, Handheld camcorder, 1/6 - 1/10000, 25.4 / 2.5 mm (1 / 2.5""), 26.8 - 536 mm","Sony FDR-AX53. Sensor type: CMOS, Total megapixels: 8.29 MP, Optical sensor size: 25.4 / 2.5 mm (1 / 2.5""). Optical zoom: 20x, Digital zoom: 250x, Focal length range (f-f): 26.8 - 536 mm. Camcorder media type: Memory card, Compatible memory cards: MS PRO Duo, MS Pro-HG Duo, MS XC-HG Duo, SD, SDHC, SDXC, Camera file system: DCF 2.0, Exif 2.3, MPF. Focus adjustment: Auto/Manual, Closest focusing distance: 0.01 m. Light exposure modes: Auto, Manual, Light metering: Spot"
25904123,CMOS,30 x,Auto/Manual,"6,9 cm (2.7'')",Full HD,"Sony HDR-CX405, CMOS, Handheld camcorder, 1/25 - 1/10000, 25.4 / 5.8 mm (1 / 5.8""), 1.9 - 57 mm, Memory card","Sony HDR-CX405. Sensor type: CMOS, Total megapixels: 9.2 MP, Optical sensor size: 25.4 / 5.8 mm (1 / 5.8""). Optical zoom: 30x, Digital zoom: 350x, Focal length range (f-f): 1.9 - 57 mm. Camcorder media type: Memory card, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC. Focus adjustment: Auto/Manual. Light exposure modes: Auto, Scene modes: Fireworks, Landscape, Portrait, Spotlight, Beach, Snow"
19692589,CMOS,,Auto,"6,9 cm (2.7'')",Full HD,"Sony HDR-MV1, CMOS, Handheld camcorder, 1/30 - 1/10000, 25.4 / 2.3 mm (1 / 2.3""), Memory card, Auto","Sony HDR-MV1. Sensor type: CMOS, Total megapixels: 16.8 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""). Camcorder media type: Memory card, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC, MS Micro (M2). Focus adjustment: Auto. Scene modes: Beach, Fireworks, Landscape, Night landscape, Snow, Spotlight, Sunrise, Sunset. White balance: Auto"
