sku,Display,Storage,Processor,Camera,GPS,Weight,short_description,long_description
29843537,4.5",8 GB,"Qualcomm Snapdragon 1,1 GHz",4 MP,true,140 g,"Acer Liquid 330, Dual SIM, Android, EDGE, GPRS, HSPA, LTE, Clamshell","Acer 330, Liquid. Display diagonal: 11.4 cm (4.5""), Display resolution: 854 x 480 pixels, Touch technology: Multi-touch. Processor frequency: 1.1 GHz, Processor family: Qualcomm Snapdragon, Processor model: MSM 8909. Internal storage capacity: 8 GB, Internal RAM: 1024 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 5 MP, Second camera resolution: 5 MP. SIM card capability: Dual SIM, 2G standards: EDGE, GPRS, 3G standards: HSPA"
26175504,5",8 GB,"MediaTek 1,5 GHz",13 MP,true,110 g,"Acer Liquid Jade Z, Dual SIM, Android, NanoSIM, EDGE, GPRS, GSM, HSPA+, WCDMA, LTE","Acer Jade Z, Liquid. Display diagonal: 12.7 cm (5""), Display resolution: 1280 x 720 pixels, Display type: IPS. Processor frequency: 1.5 GHz, Processor family: MediaTek, Processor model: MT6732. Internal storage capacity: 8 GB, Internal RAM: 1024 MB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC. Main camera resolution (numeric): 13 MP, Flash type: LED, Second camera resolution: 5 MP. SIM card capability: Dual SIM, SIM card type: NanoSIM, 2G standards: EDGE, GPRS, GSM"
26175505,5",8 GB,"MediaTek 1,5 GHz",13 MP,false,110 g,"Acer Liquid Jade Z White, Dual SIM, Android, NanoSIM, EDGE, GPRS, HSDPA, HSPA+, HSUPA, LTE","Acer Jade Z White, Liquid. Display diagonal: 12.7 cm (5""), Display resolution: 1280 x 720 pixels, Display type: IPS. Processor frequency: 1.5 GHz, Processor family: MediaTek, Processor model: MT6732L. Internal storage capacity: 8 GB, Internal RAM: 1024 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 13 MP, Flash type: LED, Second camera resolution: 5 MP. SIM card capability: Dual SIM, SIM card type: NanoSIM, 2G standards: EDGE, GPRS"
29406183,5",8 GB,"MediaTek 1,3 GHz",8 MP,true,145 g,"Acer Liquid Z530, Dual SIM, Android, GSM, Android 5.1 Lollipop, Bar, MediaTek","Acer Z530, Liquid. Display diagonal: 12.7 cm (5""), Display resolution: 1280 x 720 pixels. Processor frequency: 1.3 GHz, Processor family: MediaTek, Processor model: MT6735. Internal storage capacity: 8 GB, Internal RAM: 1024 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 8 MP, Second camera resolution: 8 MP. SIM card capability: Dual SIM, 2G standards: GSM, Bluetooth version: 4.0"
29406184,5.5",16 GB,"MediaTek 1,3 GHz",8 MP,true,165 g,"Acer Liquid Z630, Dual SIM, Android, MicroSIM, GSM, HSPA, LTE","Acer Z630, Liquid. Display diagonal: 14 cm (5.5""), Display resolution: 720 x 1280 pixels, Display type: IPS. Processor frequency: 1.3 GHz, Processor family: MediaTek, Processor model: MT6735. Internal storage capacity: 16 GB, Internal RAM: 2048 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 8 MP, Flash type: LED, Second camera resolution: 8 MP. SIM card capability: Dual SIM, SIM card type: MicroSIM, 2G standards: GSM"
29406182,5.5",16 GB,"MediaTek 1,3 GHz",8 MP,false,165 g,"Acer Liquid Z630, Dual SIM, Android, MicroSIM, EDGE, GPRS, GSM, HSPA+, LTE","Acer Z630, Liquid. Display diagonal: 14 cm (5.5""), Display resolution: 720 x 1280 pixels, Display type: IPS. Processor frequency: 1.3 GHz, Processor family: MediaTek, Processor model: MT6735. Internal storage capacity: 16 GB, Internal RAM: 2048 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 8 MP, Flash type: LED, Second camera resolution: 8 MP. SIM card capability: Dual SIM, SIM card type: MicroSIM, 2G standards: EDGE, GPRS, GSM"
30620196,5.5",32 GB,"MediaTek 1,3 GHz",8 MP,true,165 g,"Acer Liquid Z630S, Dual SIM, Android, MicroSIM, EDGE, GPRS, GSM, HSPA+, WCDMA, LTE","Acer Z630S, Liquid. Display diagonal: 14 cm (5.5""), Display resolution: 1280 x 720 pixels, Display type: IPS. Processor frequency: 1.3 GHz, Processor family: MediaTek, Processor model: MT6735. Internal storage capacity: 32 GB, Internal RAM: 3072 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 8 MP, Flash type: LED, Second camera resolution: 8 MP. SIM card capability: Dual SIM, SIM card type: MicroSIM, 2G standards: EDGE, GPRS, GSM"
23339155,4.5",4 GB,"Qualcomm Snapdragon 1,2 GHz",5 MP,true,139 g,"Samsung SM-G355H Galaxy, 11.43 cm (4.5""), 800 x 480 pixels, TFT, 1.2 GHz, 768 MB, 4 GB","Samsung SM-G355H, Galaxy. Display diagonal: 11.43 cm (4.5""), Display resolution: 800 x 480 pixels, Display type: TFT. Processor frequency: 1.2 GHz. Internal RAM: 768 MB, Internal storage capacity: 4 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC. Main camera resolution (numeric): 5 MP, Video recording modes: 480p, Maximum frame rate: 30 fps. SIM card capability: Single SIM, SIM card type: MicroSIM, 2G standards: GSM"
25923236,5",8 GB,"Qualcomm Snapdragon 1,2 GHz",5 MP,false,160 g,"Samsung GT-I9060 Galaxy, 12.7 cm (5""), 480 x 800 pixels, TFT, 1.2 GHz, 1024 MB, 8 GB","Samsung GT-I9060, Galaxy. Display diagonal: 12.7 cm (5""), Display resolution: 480 x 800 pixels, Display type: TFT. Processor frequency: 1.2 GHz. Internal RAM: 1024 MB, Internal storage capacity: 8 GB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 5 MP, Second camera resolution: 2 MP. SIM card capability: Single SIM, 2G standards: GSM, 3G standards: HSPA+, UMTS"
24675870,5.7",32 GB,"Qualcomm Snapdragon 2,7 GHz",16 MP,true,176 g,"Samsung SM-N910F Galaxy, 14.48 cm (5.7""), 2560 x 1440 pixels, SAMOLED, 2.7 GHz, 3072 MB, 32 GB","Samsung SM-N910F, Galaxy. Display diagonal: 14.48 cm (5.7""), Display resolution: 2560 x 1440 pixels, Display type: SAMOLED. Processor frequency: 2.7 GHz. Internal RAM: 3072 MB, Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 16 MP, Video recording modes: 1080p, 2160p, 720p, Maximum frame rate: 60 fps. SIM card capability: Single SIM, SIM card type: MicroSIM, 2G standards: EDGE, GPRS, GSM"
