sku,Processor,Memory,Display,Storage,Battery,short_description,long_description
29545800,"1,3 GHz MT8127",1 GB,1024 x 600 pixels,16 GB,2780 mAh (LiPo),"MediaTek MT8127 (1.3GHz), 17.78 cm (7 "") LCD WSVGA LED touch (1024 x 600), 1GB DDR3L SDRAM, 16GB, 802.11b/g/n, Bluetooth 4.0, Android","Acer One 7 B1-770, Iconia. Processor frequency: 1.3 GHz, Processor family: Mediatek, Processor model: MT8127. Internal memory: 1 GB, Internal memory type: DDR3L-SDRAM. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Storage media: Flash. Display diagonal: 17.8 cm (7""), Display resolution: 1024 x 600 pixels, Touch technology: Multi-touch. Rear camera resolution (numeric): 5 MP, Front camera resolution (numeric): 0.3 MP"
29525342,Intel Atom x3-C3200 Quad-Core,1 GB,1024 x 600 pixels,16 GB,13 Wh (LiPo),"ntel Atom x3-C3200 Quad-Core, 64-bit, 7"" IPS LED 1024 x 600, 1GB RAM, 16GB, 802.11 b/g/n, Bluetooth 4.0, Android 5.0","ASUS Z170C-1B012A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 1 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Maximum memory card size: 128 GB. Display diagonal: 7"", Display resolution: 1024 x 600 pixels, Display technology: IPS. Rear camera resolution (numeric): 2 MP, Front camera resolution (numeric): 0.3 MP"
29525343,Intel Atom x3-C3200 Quad-Core,1 GB,1024 x 600 pixels,16 GB,13 Wh (LiPo),"Intel Atom x3-C3200 Quad-Core, 64-bit, 7"" IPS LED 1024 x 600, 1GB RAM, 16GB, 802.11 b/g/n, Bluetooth 4.0, Android 5.0","ASUS Z170C-1L019A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 1 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Maximum memory card size: 128 GB. Display diagonal: 7"", Display resolution: 1024 x 600 pixels, Display technology: IPS. Rear camera resolution (numeric): 2 MP, Front camera resolution (numeric): 0.3 MP"
29518547,Intel Atom x3-C3200,2 GB,1280 x 800 pixels,16 GB,4890 mAh,"ntel Atom x3-C3200, 2GB LPDDR3, 16GB eMMC, WLAN 802.11, BT 4.0, Android 5.0","ASUS Z300C-1A069A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), SDXC, Maximum memory card size: 128 GB. Display diagonal: 10.1"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Graphics: Mali 450 MP4"
29518551,Intel Atom x3-C3200,2 GB,1280 x 800 pixels,16 GB,4890 mAh,"Intel Atom x3-C3200, 2GB LPDDR3, 16GB eMMC, WLAN 802.11, BT 4.0, Android 5.0","ASUS Z300C-1B053A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), SDXC, Maximum memory card size: 128 GB. Display diagonal: 10.1"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Graphics: Mali 450 MP4"
29565391,Intel Atom x3-C3200,2 GB,1280 x 800 pixels,16 GB,15.2 Wh (LiPo),"Intel Atom x3-C3200 Quad-Core, 64-bit, 8"" IPS LED 1280 x 800, 2GB RAM, 16GB, 802.11 b/g/n, Bluetooth 4.0, Android 5.0","ASUS Z380C-1L051A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 2 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDXC, Maximum memory card size: 64 GB. Display diagonal: 8"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Rear camera resolution (numeric): 5 MP, Front camera resolution (numeric): 2 MP"
28373128,Intel Atom Z3560 Quad-Core,2 GB,2048 x 1536 pixels,32 GB,15.2 Wh (LiPo),"Intel Atom Z3560 Quad-Core, 2GB RAM, 32GB, 5MP/8MP, WLAN 802.11 a/b/g/n/ac, Android 5.0","ASUS Z580CA-1A032A, ZenPad. Processor family: Intel Atom, Processor: Z3560, Processor boost frequency: 1.83 GHz. Internal memory: 2 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDXC, Maximum memory card size: 128 GB. Display diagonal: 8"", Display resolution: 2048 x 1536 pixels, Display technology: IPS. Graphics adapter family: Intel"
29565389,Intel Atom Z3560 Quad-Core,2 GB,2048 x 1536 pixels,32 GB,15.2 Wh (LiPo),"Intel Atom Z3560 Quad-Core, 2GB RAM, 32GB, 5MP/8MP, WLAN 802.11 a/b/g/n/ac, Android 5.0","ASUS Z580CA-1B024A, ZenPad. Processor family: Intel Atom, Processor: Z3560, Processor cache: 2 MB. Internal memory: 2 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDXC, Maximum memory card size: 128 GB. Display diagonal: 8"", Display resolution: 2048 x 1536 pixels, Display technology: IPS. Rear camera resolution (numeric): 8 MP, Front camera resolution (numeric): 5 MP"
30375360,"Intel Core m5-6Y54 (1.1GHz, 4MB)",8 GB,1920 x 1280 pixels,128 GB,40 Wh (LiPo),"Intel Core m5-6Y54 (1.1GHz, 4MB), 12"" FHD UWVA eDP ultra-slim LED touch (1920 x 1280), 8GB LPDDR3 SDRAM, 128GB SATA TLC SSD, Intel HD Graphics 515, 802.11a/b/g/n/ac, Bluetooth 4.2, 2 MP / 5 MP webcam, Windows 10 Pro 64","HP Elite x2 1012 G1. Processor frequency: 1.1 GHz, Processor family: Intel Core M, Processor: m5-6Y54. Internal memory: 8 GB, Internal memory type: LPDDR3-SDRAM, Maximum internal memory: 8 GB. Internal storage capacity: 128 GB, Compatible memory cards: MicroSD (TransFlash), Storage media: SSD. Display diagonal: 12"", Display resolution: 1920 x 1280 pixels, Touch technology: Multi-touch. Graphics adapter family: Intel, Graphics: HD Graphics 515"
26289661,Intel Atom Z3795,4 GB,1920 x 1200 pixels,128 GB,30 Wh (LiPo),"Intel Atom Z3795, 4 GB LPDDR3, 128 GB SSD, 10.1"" (25.65 cm), 2.1 MP, Wi-Fi, Bluetooth 4.0, Windows 8.1 Pro","HP 1000 G2, ElitePad. Processor frequency: 1.59 GHz, Processor family: Intel Atom, Processor: Z3795. Internal memory: 4 GB, Internal memory type: LPDDR3-SDRAM, Memory clock speed: 1067 MHz. Internal storage capacity: 128 GB, Storage media: SSD. Display diagonal: 10.1"", Display resolution: 1920 x 1200 pixels, Touch technology: Multi-touch. Graphics adapter family: Intel, Graphi"
25988329,Intel Atom Z3735G,1 GB,1280 x 800 pixels,16 GB,28.5 Wh (LiPo),"Intel Atom Z3735G, 1GB DDR3L, 16GB eMMC, 10.1"" IPS (1280 x 800), Intel HD, Dual-cam, HP hs3110 HSPA+ Mobile Broadband/GPS, Wi-Fi 802.11a/b/g/n, Bluetooth 4.0 LE, NFC, micro-USB 2.0, micro-HDMI, microSD, Android 4.4 KitKat","HP Pro Slate 10 EE G1. Processor frequency: 1.33 GHz, Processor family: Intel Atom, Processor: Z3735G. Internal memory: 1 GB, Internal memory type: DDR3L-SDRAM. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Maximum memory card size: 32 GB. Display diagonal: 10.1"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Graphics adapter family: Intel, Graphics: HD Graphics"
25893779,Qualcomm Snapdragon 800 (2.3GHz),2 GB,2048 x 1536 pixels,32 BG,21 Wh (LiPo),"Qualcomm Snapdragon 800 (2.3GHz), 7.86"" FHD QXGA touch (2048 x 1536), 2GB LPDDR3 SDRAM, 32GB eMMC SSD, 802.11a/b/g/n/ac, Bluetooth 4.0 + LE, 2 MP / 8 MP, WWAN 4G, Android 4.4 (KitKat)","HP Pro Slate 8. Processor frequency: 2.3 GHz, Processor family: Qualcomm Snapdragon. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM, Maximum internal memory: 2 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), Maximum memory card size: 32 GB. Display diagonal: 7.86"", Display resolution: 2048 x 1536 pixels, Touch technology: Multi-touch. Rear camera resolution (numeric): 8 MP, Front camera resolution (numeric): 2 MP"
28586825,"Intel Atom x5-Z8500 (1.44GHz, 2MB)",4 GB,2048 x 1536 pixels,128 GB,21 Wh (LiPo),"Intel Atom x5-Z8500 (1.44GHz, 2MB), 7.9"" FHD QXGA BrightView WLED UWVA touch (2048 x 1536), 4GB LPDDR3 SDRAM, 128GB eMMC, Intel HD Graphics, 802.11a/b/g/b/ac, Bluetooth 4.0, WWAN 4G, 2 MP / 8 MP webcam, Windows 10 Pro 64","HP 608 G1, Pro Tablet. Processor frequency: 1.44 GHz, Processor family: Intel Atom, Processor cache: 2 MB. Internal memory: 4 GB, Internal memory type: LPDDR3-SDRAM, Memory clock speed: 1600 MHz. Internal storage capacity: 128 GB, Compatible memory cards: MicroSDXC, Maximum memory card size: 2000 GB. Display diagonal: 7.9"", Display resolution: 2048 x 1536 pixels, Touch technology: Multi-touch. Graphics adapter family: Intel, Graphics: HD Graphics"
