slug,variantid,sku,image_quality,lens_system,focus,screen,video,short_description.en_US,long_description.en_US,short_description.de_DE,long_description.de_DE
153_acer_m2610,1,26427900,,,,,,,,,
153_acer_m6640g,1,29885591,,,,,,,,,
153_asus_m32ad-be009t,1,29911080,,,,,,,,,
153_dell_3020,1,24403939,,,,,,,,,
153_dell_9020,1,27128227,,,,,,,,,
153_fujitsu_e420,1,29804739,,,,,,,,,
153_fujitsu_e920,1,29804808,,,,,,,,,
153_fujitsu_m740,1,29374842,,,,,,,,,
153_fujitsu_p420,1,29804957,,,,,,,,,
153_fujitsu_r940,1,29374843,,,,,,,,,
153_hp_230-twr,1,25885453,,,,,,,,,
153_hp_280-g1,1,29406823,,,,,,,,,
153_hp_400-g25-sff,1,28552654,,,,,,,,,
153_hp_400-g3-mt,1,29891383,,,,,,,,,
153_hp_440-mt,1,24801337,,,,,,,,,
153_hp_600-g1-sff,1,23061675,,,,,,,,,
153_hp_600-g2-mt,1,29891842,,,,,,,,,
153_hp_620,1,13710816,,,,,,,,,
153_hp_800-g1,1,24673744,,,,,,,,,
153_hp_p1g46ea,1,29891041,,,,,,,,,
153_lenovo_e73,1,29529631,,,,,,,,,
153_lenovo_e73,2,29761404,,,,,,,,,
153_lenovo_m73,1,27107296,,,,,,,,,
153_lenovo_p300-tower,1,23087059,,,,,,,,,
153_lenovo_p310,1,30648859,,,,,,,,,
153_lenovo_p900,1,24788120,,,,,,,,,
1630_asus_vivowatch,1,27003893,,,,,,,,,
1630_asus_vivowatch,2,27207215,,,,,,,,,
1630_hannspree_sw68sd12,1,26192836,,,,,,,,,
1630_tomtom_golf,1,24235707,,,,,,,,,
1630_tomtom_golfer,1,27290499,,,,,,,,,
1630_tomtom_multi-sport-cardio,1,22196533,,,,,,,,,
1630_tomtom_runner,1,19611864,,,,,,,,,
1893_acer_330,1,29843537,,,,,,,,,
1893_acer_jade-z,1,26175504,,,,,,,,,
1893_acer_jade-z-white,1,26175505,,,,,,,,,
1893_acer_z530,1,29406183,,,,,,,,,
1893_acer_z630,1,29406182,,,,,,,,,
1893_acer_z630,2,29406184,,,,,,,,,
1893_acer_z630s,1,30620196,,,,,,,,,
1893_samsung_3,1,26552089,,,,,,,,,
1893_samsung_gt-i9060,1,25923236,,,,,,,,,
1893_samsung_gt-s7390,1,21736789,,,,,,,,,
1893_samsung_sm-g110h,1,24751053,,,,,,,,,
1893_samsung_sm-g355h,1,23339155,,,,,,,,,
1893_samsung_sm-g920f,1,26346564,,,,,,,,,
1893_samsung_sm-g920f,2,26408542,,,,,,,,,
1893_samsung_sm-g925f,1,26408559,,,,,,,,,
1893_samsung_sm-g928f,1,29544908,,,,,,,,,
1893_samsung_sm-n910f,1,24675870,,,,,,,,,
1893_sony_c5-ultra,1,29847624,,,,,,,,,
1893_sony_m4-aqua,1,26534020,,,,,,,,,
1893_sony_xperia-z5,1,29579058,,,,,,,,,
1893_sony_xperia-z5,2,29579061,,,,,,,,,
1893_sony_xperia-z5-compact,1,29579056,,,,,,,,,
1893_sony_z3-compact,1,24602396,,,,,,,,,
1893_sony_z5,1,29801571,,,,,,,,,
1893_sony_z5-premium,1,29731567,,,,,,,,,
2647_samsung_galaxy-gear,1,19682158,,,,,,,,,
2647_samsung_galaxy-gear,2,19682159,,,,,,,,,
2647_samsung_galaxy-gear,3,19763031,,,,,,,,,
2647_samsung_gear-s,1,24666697,,,,,,,,,
2647_samsung_gear-s2,1,30014805,,,,,,,,,
2647_samsung_gear-s2,2,30014807,,,,,,,,,
2647_samsung_gear-s2-classic,1,29901936,,,,,,,,,
2647_sony_smartwatch,1,12295890,,,,,,,,,
2647_sony_smartwatch-3-swr50,1,24495842,,,,,,,,,
2647_sony_smartwatch-3-swr50,2,24495843,,,,,,,,,
2647_sony_smartwatch-3-swr50,3,26512883,,,,,,,,,
2647_sony_smartwatch-3-swr50,4,26512884,,,,,,,,,
2647_sony_sw2-smartwatch-2,1,21047360,,,,,,,,,
2871_acer_leap-active,1,29727910,,,,,,,,,
2871_hannspree_sw49st11,1,28535676,,,,,,,,,
2871_sony_smartband-talk-swr30,1,24495852,,,,,,,,,
2871_sony_smartband-talk-swr30,2,24495853,,,,,,,,,
2871_sony_swr10-limited-brazil-edition,1,22078075,,,,,,,,,
2871_tomtom_spark-cardio-music,1,29805780,,,,,,,,,
3073_sony_swr12,1,29634940,,,,,,,,,
3073_sony_swr12,2,29634947,,,,,,,,,
575_canon_1200d-ef-s-18-55mm,1,21751902,,,,,,,,,
