"slug","variantId","sku","Processor","Memory","Design","Storage","Graphics","short_description-en","long_description-en","short_description-de","long_description-de"
"153_acer_m2610","1","26427900","3,2 GHz","4 GB","Black","500 GB","Intel HD Graphics","Acer Extensa M2610, G3250, 64-bit, HDD, Intel Pentium G, DVD Super Multi, Black","Acer M2610, Extensa. Processor frequency: 3.2 GHz, Processor family: Intel Pentium G, Processor model: G3250. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1100 MHz","Acer Extensa M2610, G3250, 64-bit, Festplatte, Intel Pentium G, DVD Super Multi, Schwarz","Acer M2610, Extensa. Prozessor-Taktfrequenz: 3,2 GHz, Prozessorfamilie: Intel Pentium G, Prozessor: G3250. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1100 MHz"
"153_acer_m6640g","1","29885591","3,4 GHz","16 GB","Black","16 GB","Intel HD Graphics 530","Acer Veriton M6640G, i7-6700, Tower, 64-bit, Hybrid-HDD, Intel Core i7-6xxx, DVD Super Multi","Acer M6640G, Veriton. Processor frequency: 3.4 GHz, Processor family: Intel Core i7-6xxx, Processor model: i7-6700. Internal memory: 16 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 1000 GB, Storage media: Hybrid-HDD, Hybrid hard drive (H-HDD) cache type: SSD. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 530, On-board graphics adapter outputs supported: DVI, Embedded DisplayPort (eDP), DisplayPort, HDMI, On-board graphics adapter base frequency: 350 MHz","Acer Veriton M6640G, i7-6700, Turm, 64-bit, Hybrid-HDD, Intel Core i7-6xxx, DVD Super Multi","Acer M6640G, Veriton. Prozessor-Taktfrequenz: 3,4 GHz, Prozessorfamilie: Intel Core i7-6xxx, Prozessor: i7-6700. RAM-Speicher: 16 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Hybrid-HDD, Hybrid-Festplatte (H-HDD) Typ: SSD. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 530, On-Board Grafikadapter unterstützte Ausgänge: DVI, Embedded DisplayPort (eDP), DisplayPort, HDMI, On-Board Grafikadapter Basisfrequenz: 350 MHz"
"153_asus_m32ad-be009t","1","29911080","3,6 GHz","8 GB","Black","16 GB","Intel HD Graphics 4600","ASUS M M32AD-BE009T, i7-4790, Tower, HDD, Intel Core i7-4xxx, Black, Grey, Intel HD Graphics 4600","ASUS M32AD-BE009T, M. Processor frequency: 3.6 GHz, Processor family: Intel Core i7-4xxx, Processor model: i7-4790. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive interface: Serial ATA III. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1200 MHz. Operating system installed: Windows 10 Home","ASUS M M32AD-BE009T, i7-4790, Turm, Festplatte, Intel Core i7-4xxx, Schwarz, Grau, Intel HD Graphics 4600","ASUS M32AD-BE009T, M. Prozessor-Taktfrequenz: 3,6 GHz, Prozessorfamilie: Intel Core i7-4xxx, Prozessor: i7-4790. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplatten-Schnittstelle: Serial ATA III. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1200 MHz. Vorinstalliertes Betriebssystem: Windows 10 Home"
"153_dell_3020","1","24403939","3,3 GHz","8 GB","Black","500 GB","Intel HD Graphics 4600","DELL OptiPlex 3020, i5-4590, SFF, 64-bit, HDD, Intel Core i5-4xxx, DVD±RW","DELL 3020, OptiPlex. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz","DELL OptiPlex 3020, i5-4590, SFF, 64-bit, Festplatte, Intel Core i5-4xxx, DVD±RW","DELL 3020, OptiPlex. Prozessor-Taktfrequenz: 3,3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD±RW. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
"153_dell_9020","1","27128227","3,3 GHz","8 GB","SFF","500 GB","Intel HD Graphics 4600","DELL OptiPlex 3020, i5-4590, SFF, 64-bit, HDD, Intel Core i5-4xxx, DVD±RW","DELL 3020, OptiPlex. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz","DELL OptiPlex 3020, i5-4590, SFF, 64-bit, Festplatte, Intel Core i5-4xxx, DVD±RW","DELL 3020, OptiPlex. Prozessor-Taktfrequenz: 3,3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD±RW. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
"153_fujitsu_e420","1","29804739","3,3 GHz","4 GB","Desktop","500 GB","Intel HD Graphics 4600","Fujitsu ESPRIMO E420, i5-4590, Desktop, 64-bit, HDD, 10 - 35 °C, 5 - 85%","Fujitsu E420, ESPRIMO. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz","Fujitsu CELSIUS M740, E5-1620V3, 64-bit, SSD, 10 - 35 °C, 5 - 85%, Intel Xeon E5 v3","Fujitsu M740, CELSIUS. Prozessor-Taktfrequenz: 3,5 GHz, Prozessorfamilie: Intel Xeon E5 v3, Prozessor: E5-1620V3. RAM-Speicher: 16 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 256 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi. Dediziertes Grafikmodell: NVIDIA Quadro K2200, Separater Grafik-Adapterspeicher: 4096 GB"
"153_fujitsu_e920","1","29804808","3,5 GHz","8 GB","Desktop","256 GB","Intel HD Graphics 4600","Fujitsu ESPRIMO E920, i5-4690, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu E920, ESPRIMO. Processor frequency: 3.5 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4690. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1200 MHz","Fujitsu CELSIUS R940, E5-2630V3, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu R940, CELSIUS. Prozessor-Taktfrequenz: 2,4 GHz, Prozessorfamilie: Intel Xeon E5 v3, Prozessor: E5-2630V3. RAM-Speicher: 16 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 512 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi. Vorinstalliertes Betriebssystem: Windows 7 Professional, Betriebssystem Architektur: 64-bit, Recovery-Betriebssystem: Windows 8.1 Pro"
"153_fujitsu_m740","1","29374842","3,5 GHz","16 GB","Black","256 GB","NVIDIA Quadro K2200","Fujitsu CELSIUS M740, E5-1620V3, 64-bit, SSD, 10 - 35 °C, 5 - 85%, Intel Xeon E5 v3","Fujitsu M740, CELSIUS. Processor frequency: 3.5 GHz, Processor family: Intel Xeon E5 v3, Processor model: E5-1620V3. Internal memory: 16 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 256 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi. Discrete graphics adapter model: NVIDIA Quadro K2200, Discrete graphics adapter memory: 4096 GB","Fujitsu ESPRIMO E420, i5-4590, Desktop, 64-bit, Festplatte, 10 - 35 °C, 5 - 85%","Fujitsu E420, ESPRIMO. Prozessor-Taktfrequenz: 3,3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
"153_fujitsu_p420","1","29804957","3,5 GHz","8 GB","Desktop","8 GB","Intel HD Graphics 4600","Fujitsu ESPRIMO E920, i5-4690, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu E920, ESPRIMO. Processor frequency: 3.5 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4690. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1200 MHz","Fujitsu ESPRIMO E920, i5-4690, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu E920, ESPRIMO. Prozessor-Taktfrequenz: 3,5 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4690. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1200 MHz"
"153_fujitsu_r940","1","29374843","2,4 GHz","16 GB","Desktop","256 GB","Intel HD Graphics 4600","Fujitsu CELSIUS R940, E5-2630V3, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu R940, CELSIUS. Processor frequency: 2.4 GHz, Processor family: Intel Xeon E5 v3, Processor model: E5-2630V3. Internal memory: 16 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 512 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi. Operating system installed: Windows 7 Professional, Operating system architecture: 64-bit, Recovery operating system: Windows 8.1 Pro","Fujitsu ESPRIMO E920, i5-4690, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu E920, ESPRIMO. Prozessor-Taktfrequenz: 3,5 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4690. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1200 MHz"
