"sku","category_key"
"136823","100102"
"137288","100103"
"137455","100102"
"137479","100102"
"137837","100102"
"143210","100103"
"143647","100103"
"143654","100104"
"143913","100103"
"146013","100103"
"146341","100103"
"146617","100103"
"146624","100103"
"146778","100103"
"146815","100103"
"146846","100102"
"146860","100102"
"146938","100102"
"146952","100104"
"146983","100104"
"147003","100104"
"147027","100104"
"147034","100104"
"147058","100104"
"147065","100103"
"147096","100102"
"147119","100102"
"147133","100102"
"147188","100103"
"147225","100102"
"147232","100103"
"147256","100104"
"147355","100103"
