"sku";"category"
64286050;"Basisnahrung"
64287320;"Basisnahrung"
58188594;"Basisnahrung"
60000;"Basisnahrung"
60010;"Basisnahrung"
60004;"Basisnahrung"
60006;"Basisnahrung"
600011;"Basisnahrung"
60012;"Basisnahrung"
"Gutschein";"Basisnahrung"
120071485;"Basisnahrung"
80004;"Basisnahrung"
80000;"Basisnahrung"
57970693;"Snacks"
57970428;"Snacks"
57970290;"Snacks"
57970769;"Snacks"
57970819;"Snacks"
57970905;"Snacks"
57969750;"Snacks"
57969773;"Snacks"
59227121;"Snacks"
59226998;"Snacks"
59227053;"Snacks"
59241391;"Snacks"
57969982;"Snacks"
59241395;"Snacks"
118749648;"Snacks"
118749708;"Snacks"
118749730;"Snacks"
"Gutschein";"Snacks"
119369207;"Snacks"
119369208;"Snacks"
119369209;"Snacks"
119448663;"Snacks"
57972944;"Snacks"
59226992;"Snacks"
11954913837;"Snacks"
11954913839;"Snacks"
57971946;"Trockenfleisch"
57971928;"Trockenfleisch"
57971836;"Trockenfleisch"
57971798;"Trockenfleisch"
118377173;"Trockenfleisch"
118377179;"Trockenfleisch"
118810595;"Trockenfleisch"
118810476;"Trockenfleisch"
57971871;"Trockenfleisch"
118749648;"Trockenfleisch"
118749708;"Trockenfleisch"
118749730;"Trockenfleisch"
"Gutschein";"Trockenfleisch"
119369207;"Trockenfleisch"
119369208;"Trockenfleisch"
119369209;"Trockenfleisch"
118810594;"Trockenfleisch"
118810592;"Trockenfleisch"
118810478;"Trockenfleisch"
119562823;"Trockenfleisch"
55146231;"Supplements"
55146226;"Supplements"
57971128;"Supplements"
57971482;"Supplements"
57971351;"Supplements"
58076697;"Supplements"
"Gutschein";"Supplements"
119449214;"Supplements"
119602188;"Supplements"
55146270;"Supplements"
122553302;"Supplements"
70000;"Basisnahrung"
70001;"Basisnahrung"
70002;"Basisnahrung"
70004;"Basisnahrung"
59937927;"Basisnahrung"
64270893;"Basisnahrung"
"Gutschein";"Basisnahrung"
120071488;"Basisnahrung"
70005;"Basisnahrung"
70006;"Basisnahrung"
57970290;"Snacks"
57969863;"Snacks"
57969900;"Snacks"
59226998;"Snacks"
59227053;"Snacks"
"Gutschein";"Snacks"
119448928;"Snacks"
119448744;"Snacks"
119449106;"Snacks"
119449139;"Snacks"
119548993;"Snacks"
119548999;"Snacks"
57971946;"Trockenfleisch"
57971836;"Trockenfleisch"
57971798;"Trockenfleisch"
"Gutschein";"Trockenfleisch"
119562823;"Trockenfleisch"
55146270;"Trockenfleisch"
55146231;"Supplements"
55146226;"Supplements"
57971128;"Supplements"
57971482;"Supplements"
57971351;"Supplements"
58076697;"Supplements"
"Gutschein";"Supplements"
119449214;"Supplements"
119602189;"Supplements"
64286050;"Angebote"
64287320;"Angebote"
58188594;"Angebote"
57971946;"Angebote"
57970693;"Angebote"
57970428;"Angebote"
57969750;"Angebote"
57969773;"Angebote"
57969863;"Angebote"
57969900;"Angebote"
59937927;"Angebote"
64286050;"Promotionen"
58188594;"Promotionen"
57971946;"Promotionen"
57971836;"Promotionen"
57971798;"Promotionen"
57970428;"Promotionen"
57969750;"Promotionen"
57969773;"Promotionen"
57969863;"Promotionen"
57969900;"Promotionen"
59937927;"Promotionen"
64286050;"Futtermixer"
64287320;"Futtermixer"
58188594;"Futtermixer"
"Gutschein";"Futtermixer"
120071485;"Futtermixer"
59937927;"Futtermixer"
64270893;"Futtermixer"
"Gutschein";"Futtermixer"
120071488;"Futtermixer"
