"sku";"price";"valid_from";"valid_to";"price_type"

"8-1425-44";1395;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-45";1999;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-46";1299;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-47";1599;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-48";1399;"2015-01-31 23:59:59";"2018-12-31 23:59:59";"DEFAULT"
"8-1425-49";1395;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-50";1199;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-51";1639;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-52";1499;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-55";1000;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-56";999;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-57";1195;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"8-1425-58";1599;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-44";1599;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-45";1299;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-46";1299;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-47";1295;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-48";1095;"2015-01-31 23:59:59";"2018-12-31 23:59:59";"DEFAULT"
"7-1425-49";1095;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-50";1299;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-51";1095;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-52";1000;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"
"7-1425-53";999;"2015-01-31 23:59:59";"2016-12-31 23:59:59";"DEFAULT"

