"sku";"quantity";"is_never_out_of_stock";"stock_type"
"136823";5;0;"Warehouse1"
"137288";5;0;"Warehouse2"
"137455";5;0;"Warehouse1"
"137479";5;0;"Warehouse1"
"137837";5;0;"Warehouse1"
"143210";5;0;"Warehouse2"
"143647";5;0;"Warehouse2"
"143654";5;0;"Warehouse2"
"143913";5;0;"Warehouse2"
"146013";5;0;"Warehouse2"
"146341";5;0;"Warehouse2"
"146617";5;0;"Warehouse1"
"146624";5;0;"Warehouse1"
"146778";5;0;"Warehouse1"
"146815";5;0;"Warehouse1"
"146846";5;0;"Warehouse1"
"146860";5;0;"Warehouse2"
"146938";5;0;"Warehouse2"
"146952";5;0;"Warehouse2"
"146983";5;0;"Warehouse2"
"147003";5;0;"Warehouse2"
"147027";5;0;"Warehouse2"
"147034";5;0;"Warehouse2"
"147058";5;0;"Warehouse2"
"147065";5;0;"Warehouse2"
"147096";5;0;"Warehouse1"
"147119";5;0;"Warehouse1"
"147133";5;0;"Warehouse1"
"147188";5;0;"Warehouse1"
"147225";5;0;"Warehouse1"
"147232";5;0;"Warehouse1"
"147256";5;0;"Warehouse1"
"147355";5;0;"Warehouse1"
